date,open,high,low,close,volume
2021-07-02 00:00:00+00:00,1.3312,1.3959,1.285,1.3946,235621261.45
2021-07-03 00:00:00+00:00,1.3947,1.4444,1.3579,1.4045,197443853.76
2021-07-04 00:00:00+00:00,1.4045,1.4955,1.3815,1.4615,185325977.32
2021-07-05 00:00:00+00:00,1.4615,1.4616,1.3764,1.4039,210256310.91
2021-07-06 00:00:00+00:00,1.4039,1.4578,1.3888,1.4157,173402604.28
2021-07-07 00:00:00+00:00,1.4156,1.4416,1.4,1.404,125167776.95
2021-07-08 00:00:00+00:00,1.404,1.4065,1.3194,1.327,175680408.72
2021-07-09 00:00:00+00:00,1.3268,1.3746,1.2859,1.3504,160293985.2
2021-07-10 00:00:00+00:00,1.3504,1.366,1.3158,1.3356,93476664.31
2021-07-11 00:00:00+00:00,1.3356,1.3669,1.3231,1.3485,71704260.26
2021-07-12 00:00:00+00:00,1.3485,1.3736,1.2916,1.3126,112067630.51
2021-07-13 00:00:00+00:00,1.3126,1.3216,1.25,1.265,125015668.98
2021-07-14 00:00:00+00:00,1.2649,1.2894,1.198,1.2635,165466902.33
2021-07-15 00:00:00+00:00,1.2634,1.29,1.205,1.2258,133685795.15
2021-07-16 00:00:00+00:00,1.2258,1.245,1.1655,1.1708,159173625.74
2021-07-17 00:00:00+00:00,1.1705,1.1948,1.1497,1.1721,124485807.1
2021-07-18 00:00:00+00:00,1.1721,1.2186,1.1666,1.1813,108584207.61
2021-07-19 00:00:00+00:00,1.1814,1.1921,1.1156,1.1225,138646747.17
2021-07-20 00:00:00+00:00,1.1226,1.1362,1.0202,1.0539,283618751.18
2021-07-21 00:00:00+00:00,1.0541,1.2222,1.0366,1.1711,287296624.78
2021-07-22 00:00:00+00:00,1.1711,1.2081,1.1492,1.1856,158912321.76
2021-07-23 00:00:00+00:00,1.1857,1.2089,1.1465,1.2077,131335875.06
2021-07-24 00:00:00+00:00,1.2075,1.2487,1.1964,1.2327,142716783.01
2021-07-25 00:00:00+00:00,1.2332,1.2388,1.19,1.2284,107934124.51
2021-07-26 00:00:00+00:00,1.2283,1.3991,1.2221,1.2551,415073283.88
2021-07-27 00:00:00+00:00,1.2549,1.3158,1.2136,1.2799,233094192.34
2021-07-28 00:00:00+00:00,1.2797,1.32,1.2573,1.2875,201236980.03
2021-07-29 00:00:00+00:00,1.2875,1.2987,1.256,1.2856,130840990.64
2021-07-30 00:00:00+00:00,1.2856,1.3179,1.2467,1.3108,181649929.84
2021-07-31 00:00:00+00:00,1.3109,1.3329,1.287,1.3193,122070136.42
2021-08-01 00:00:00+00:00,1.3193,1.3879,1.2984,1.3142,200978816.46
2021-08-02 00:00:00+00:00,1.3145,1.35,1.2927,1.3083,124737501.38
2021-08-03 00:00:00+00:00,1.3082,1.3827,1.2613,1.3696,250226135.48
2021-08-04 00:00:00+00:00,1.3697,1.3938,1.323,1.3765,182865692.1
2021-08-05 00:00:00+00:00,1.3766,1.3974,1.338,1.3859,160752874.44
2021-08-06 00:00:00+00:00,1.3859,1.425,1.3613,1.4025,165384665.39
2021-08-07 00:00:00+00:00,1.4027,1.485,1.3945,1.4727,245578409.2
2021-08-08 00:00:00+00:00,1.4726,1.4941,1.407,1.4255,201134603.12
2021-08-09 00:00:00+00:00,1.4256,1.499,1.3933,1.4745,204393100.93
2021-08-10 00:00:00+00:00,1.4745,1.701,1.457,1.678,356506024.51
2021-08-11 00:00:00+00:00,1.678,1.895,1.67,1.7934,488863450.17
2021-08-12 00:00:00+00:00,1.7934,1.869,1.6792,1.8324,431637639.2
2021-08-13 00:00:00+00:00,1.833,2.1495,1.8212,2.1386,589994492.03
2021-08-14 00:00:00+00:00,2.1386,2.25,2.0835,2.1878,599325581.5
2021-08-15 00:00:00+00:00,2.1875,2.2499,2.03,2.1667,370249371.15
2021-08-16 00:00:00+00:00,2.1667,2.2,2.0463,2.0714,313643255.53
2021-08-17 00:00:00+00:00,2.0717,2.1414,1.9059,1.9239,361700269.73
2021-08-18 00:00:00+00:00,1.924,2.1643,1.87,2.1043,486614298.9
2021-08-19 00:00:00+00:00,2.1045,2.455,2.0462,2.4411,661367609.97
2021-08-20 00:00:00+00:00,2.4411,2.5817,2.3666,2.4557,619099859.32
2021-08-21 00:00:00+00:00,2.4557,2.5288,2.3805,2.4341,297136052.16
2021-08-22 00:00:00+00:00,2.4347,2.7212,2.4306,2.7049,485497408.99
2021-08-23 00:00:00+00:00,2.705,2.9719,2.6849,2.9152,653707062.88
2021-08-24 00:00:00+00:00,2.9152,2.947,2.5872,2.7187,641652294.22
2021-08-25 00:00:00+00:00,2.7191,2.797,2.6,2.739,460928567.06
2021-08-26 00:00:00+00:00,2.7389,2.785,2.47,2.528,407754722.33
2021-08-27 00:00:00+00:00,2.529,2.9473,2.494,2.946,472662823.39
2021-08-28 00:00:00+00:00,2.947,2.95,2.772,2.847,243063514.39
2021-08-29 00:00:00+00:00,2.847,2.935,2.719,2.851,274365688.0
2021-08-30 00:00:00+00:00,2.85,2.884,2.72,2.734,240691753.9
2021-08-31 00:00:00+00:00,2.735,2.881,2.702,2.767,251908426.3
2021-09-01 00:00:00+00:00,2.768,2.904,2.72,2.869,196563544.1
2021-09-02 00:00:00+00:00,2.87,3.101,2.834,2.96,397432179.47
2021-09-03 00:00:00+00:00,2.96,3.03,2.9,2.966,203828698.4
2021-09-04 00:00:00+00:00,2.965,2.967,2.8,2.83,192271347.0
2021-09-05 00:00:00+00:00,2.831,2.956,2.813,2.91,169097774.6
2021-09-06 00:00:00+00:00,2.911,2.927,2.8,2.833,186970542.2
2021-09-07 00:00:00+00:00,2.833,2.875,2.0,2.514,964890684.8
2021-09-08 00:00:00+00:00,2.514,2.564,2.2,2.47,547581870.5
2021-09-09 00:00:00+00:00,2.47,2.623,2.39,2.518,411631907.8
2021-09-10 00:00:00+00:00,2.518,2.586,2.269,2.383,322102115.0
2021-09-11 00:00:00+00:00,2.384,2.8,2.367,2.638,561119335.07
2021-09-12 00:00:00+00:00,2.637,2.789,2.501,2.581,466822310.1
2021-09-13 00:00:00+00:00,2.58,2.593,2.309,2.402,378841930.8
2021-09-14 00:00:00+00:00,2.401,2.438,2.32,2.396,214309623.2
2021-09-15 00:00:00+00:00,2.396,2.582,2.355,2.505,276853578.3
2021-09-16 00:00:00+00:00,2.504,2.56,2.381,2.417,196390696.8
2021-09-17 00:00:00+00:00,2.417,2.442,2.313,2.35,130098585.4
2021-09-18 00:00:00+00:00,2.35,2.439,2.31,2.371,115231963.9
2021-09-19 00:00:00+00:00,2.371,2.397,2.259,2.283,127205837.0
2021-09-20 00:00:00+00:00,2.283,2.293,1.97,2.079,458599973.03
2021-09-21 00:00:00+00:00,2.08,2.229,1.9101,1.986,450988800.97
2021-09-22 00:00:00+00:00,1.986,2.268,1.967,2.257,262894741.0
2021-09-23 00:00:00+00:00,2.257,2.346,2.179,2.327,190056984.8
2021-09-24 00:00:00+00:00,2.327,2.345,2.063,2.277,382004501.6
2021-09-25 00:00:00+00:00,2.277,2.459,2.235,2.3,328389858.73
2021-09-26 00:00:00+00:00,2.299,2.301,2.147,2.207,231090029.9
2021-09-27 00:00:00+00:00,2.206,2.277,2.128,2.13,150915484.2
2021-09-28 00:00:00+00:00,2.129,2.173,2.029,2.037,151911770.2
2021-09-29 00:00:00+00:00,2.037,2.15,2.02,2.066,136138441.2
2021-09-30 00:00:00+00:00,2.066,2.137,2.051,2.115,124916940.9
2021-10-01 00:00:00+00:00,2.115,2.275,2.092,2.256,197157573.9
2021-10-02 00:00:00+00:00,2.255,2.322,2.192,2.247,147408004.5
2021-10-03 00:00:00+00:00,2.247,2.309,2.221,2.251,136980609.8
2021-10-04 00:00:00+00:00,2.251,2.253,2.15,2.191,149496124.6
2021-10-05 00:00:00+00:00,2.191,2.258,2.175,2.233,131834376.0
2021-10-06 00:00:00+00:00,2.232,2.251,2.111,2.209,192646609.5
2021-10-07 00:00:00+00:00,2.209,2.375,2.15,2.278,254708498.4
2021-10-08 00:00:00+00:00,2.278,2.313,2.213,2.237,138317391.4
2021-10-09 00:00:00+00:00,2.238,2.3,2.22,2.268,108667313.3
2021-10-10 00:00:00+00:00,2.269,2.277,2.16,2.189,110373473.1
2021-10-11 00:00:00+00:00,2.189,2.25,2.107,2.171,124908952.1
2021-10-12 00:00:00+00:00,2.171,2.173,2.071,2.118,150529530.2
2021-10-13 00:00:00+00:00,2.117,2.2,2.078,2.19,133035035.4
2021-10-14 00:00:00+00:00,2.189,2.225,2.155,2.172,109132237.4
2021-10-15 00:00:00+00:00,2.172,2.243,2.136,2.218,205811006.8
2021-10-16 00:00:00+00:00,2.217,2.25,2.169,2.179,103000332.9
2021-10-17 00:00:00+00:00,2.178,2.189,2.089,2.158,109914412.1
2021-10-18 00:00:00+00:00,2.158,2.176,2.105,2.128,96988762.8
2021-10-19 00:00:00+00:00,2.127,2.157,2.093,2.11,94391775.6
2021-10-20 00:00:00+00:00,2.11,2.208,2.092,2.19,135969738.8
2021-10-21 00:00:00+00:00,2.19,2.298,2.131,2.137,265787667.1
2021-10-22 00:00:00+00:00,2.136,2.21,2.125,2.156,130738721.4
2021-10-23 00:00:00+00:00,2.157,2.175,2.131,2.166,74106470.8
2021-10-24 00:00:00+00:00,2.167,2.169,2.093,2.12,97230595.4
2021-10-25 00:00:00+00:00,2.119,2.178,2.114,2.144,105874037.9
2021-10-26 00:00:00+00:00,2.145,2.202,2.122,2.137,142897864.5
2021-10-27 00:00:00+00:00,2.138,2.156,1.804,1.912,397889032.1
2021-10-28 00:00:00+00:00,1.912,2.058,1.905,1.987,253879713.5
2021-10-29 00:00:00+00:00,1.987,2.048,1.979,2.015,154761692.9
2021-10-30 00:00:00+00:00,2.016,2.019,1.924,1.955,122995185.8
2021-10-31 00:00:00+00:00,1.957,2.029,1.918,1.964,146413161.5
2021-11-01 00:00:00+00:00,1.965,2.019,1.911,1.949,144061135.4
2021-11-02 00:00:00+00:00,1.949,1.996,1.933,1.971,124263204.0
2021-11-03 00:00:00+00:00,1.971,2.144,1.95,2.063,335561983.7
2021-11-04 00:00:00+00:00,2.063,2.103,1.933,1.983,174549100.4
2021-11-05 00:00:00+00:00,1.983,2.017,1.959,1.982,108180863.7
2021-11-06 00:00:00+00:00,1.982,2.04,1.942,2.005,105480654.3
2021-11-07 00:00:00+00:00,2.004,2.035,1.974,2.021,82637102.7
2021-11-08 00:00:00+00:00,2.02,2.14,2.008,2.125,189974471.1
2021-11-09 00:00:00+00:00,2.126,2.378,2.105,2.27,581074544.2
2021-11-10 00:00:00+00:00,2.269,2.331,1.932,2.097,479840587.6
2021-11-11 00:00:00+00:00,2.097,2.153,2.058,2.079,151168963.6
2021-11-12 00:00:00+00:00,2.079,2.099,1.991,2.045,160252178.8
2021-11-13 00:00:00+00:00,2.046,2.08,2.021,2.05,82511465.5
2021-11-14 00:00:00+00:00,2.05,2.07,2.009,2.04,59859608.6
2021-11-15 00:00:00+00:00,2.04,2.095,2.011,2.017,93079577.9
2021-11-16 00:00:00+00:00,2.018,2.018,1.759,1.874,268941429.22
2021-11-17 00:00:00+00:00,1.874,1.893,1.795,1.876,207985172.0
2021-11-18 00:00:00+00:00,1.877,1.907,1.701,1.786,221759905.97
2021-11-19 00:00:00+00:00,1.786,1.894,1.754,1.863,144849476.6
2021-11-20 00:00:00+00:00,1.862,1.956,1.86,1.922,128183408.0
2021-11-21 00:00:00+00:00,1.921,1.924,1.832,1.835,87455485.3
2021-11-22 00:00:00+00:00,1.835,1.839,1.757,1.776,144285714.0
2021-11-23 00:00:00+00:00,1.776,1.816,1.738,1.751,144774307.8
2021-11-24 00:00:00+00:00,1.751,1.754,1.586,1.666,290146559.06
2021-11-25 00:00:00+00:00,1.665,1.749,1.619,1.675,216037163.1
2021-11-26 00:00:00+00:00,1.676,1.685,1.495,1.533,337429397.07
2021-11-27 00:00:00+00:00,1.532,1.585,1.531,1.543,107756518.0
2021-11-28 00:00:00+00:00,1.543,1.6,1.416,1.594,228010819.22
2021-11-29 00:00:00+00:00,1.595,1.636,1.557,1.601,153848484.7
2021-11-30 00:00:00+00:00,1.602,1.629,1.544,1.554,185671961.6
2021-12-01 00:00:00+00:00,1.553,1.622,1.531,1.548,157458493.8
2021-12-02 00:00:00+00:00,1.547,1.76,1.517,1.719,441382037.0
2021-12-03 00:00:00+00:00,1.72,1.729,1.509,1.556,276255974.6
2021-12-04 00:00:00+00:00,1.557,1.558,1.188,1.42,612957918.54
2021-12-05 00:00:00+00:00,1.419,1.435,1.284,1.378,270618794.7
2021-12-06 00:00:00+00:00,1.378,1.442,1.255,1.42,338310628.7
2021-12-07 00:00:00+00:00,1.42,1.479,1.365,1.378,229514365.2
2021-12-08 00:00:00+00:00,1.378,1.423,1.337,1.396,187594478.2
2021-12-09 00:00:00+00:00,1.396,1.409,1.287,1.289,174568058.8
2021-12-10 00:00:00+00:00,1.288,1.334,1.207,1.211,192968833.1
2021-12-11 00:00:00+00:00,1.211,1.362,1.192,1.354,179118114.1
2021-12-12 00:00:00+00:00,1.354,1.415,1.319,1.346,149463677.1
2021-12-13 00:00:00+00:00,1.345,1.357,1.2,1.223,184388318.4
2021-12-14 00:00:00+00:00,1.223,1.284,1.198,1.266,175476318.0
2021-12-15 00:00:00+00:00,1.267,1.331,1.204,1.311,170247496.3
2021-12-16 00:00:00+00:00,1.311,1.331,1.236,1.24,117662885.3
2021-12-17 00:00:00+00:00,1.24,1.259,1.182,1.218,138092226.1
2021-12-18 00:00:00+00:00,1.218,1.267,1.2,1.242,81211094.1
2021-12-19 00:00:00+00:00,1.242,1.312,1.24,1.243,124074683.5
2021-12-20 00:00:00+00:00,1.244,1.261,1.201,1.237,123106967.7
2021-12-21 00:00:00+00:00,1.238,1.289,1.227,1.28,122949048.2
2021-12-22 00:00:00+00:00,1.279,1.369,1.276,1.327,161174698.1
2021-12-23 00:00:00+00:00,1.327,1.49,1.307,1.475,216795659.8
2021-12-24 00:00:00+00:00,1.475,1.491,1.381,1.392,126360588.3
2021-12-25 00:00:00+00:00,1.393,1.46,1.381,1.452,87587873.9
2021-12-26 00:00:00+00:00,1.453,1.467,1.407,1.455,103769249.9
2021-12-27 00:00:00+00:00,1.455,1.594,1.45,1.516,181374841.1
2021-12-28 00:00:00+00:00,1.516,1.54,1.376,1.4,233458767.4
2021-12-29 00:00:00+00:00,1.4,1.438,1.323,1.332,151404808.3
2021-12-30 00:00:00+00:00,1.333,1.378,1.297,1.359,134171567.8
2021-12-31 00:00:00+00:00,1.359,1.383,1.281,1.308,120612337.3
2022-01-01 00:00:00+00:00,1.308,1.38,1.306,1.38,69007607.5
2022-01-02 00:00:00+00:00,1.379,1.391,1.342,1.377,81011860.4
2022-01-03 00:00:00+00:00,1.378,1.378,1.31,1.319,87155825.9
2022-01-04 00:00:00+00:00,1.319,1.352,1.295,1.309,94479305.9
2022-01-05 00:00:00+00:00,1.31,1.353,1.193,1.23,158740088.2
2022-01-06 00:00:00+00:00,1.23,1.297,1.186,1.28,175754407.6
2022-01-07 00:00:00+00:00,1.279,1.285,1.189,1.21,209806013.2
2022-01-08 00:00:00+00:00,1.209,1.254,1.124,1.181,169730473.68
2022-01-09 00:00:00+00:00,1.182,1.206,1.147,1.17,114093699.4
2022-01-10 00:00:00+00:00,1.17,1.181,1.069,1.123,189250644.14
2022-01-11 00:00:00+00:00,1.123,1.196,1.122,1.187,115267098.7
2022-01-12 00:00:00+00:00,1.188,1.314,1.186,1.312,145608592.7
2022-01-13 00:00:00+00:00,1.312,1.354,1.227,1.233,179029543.6
2022-01-14 00:00:00+00:00,1.232,1.309,1.22,1.292,143281596.5
2022-01-15 00:00:00+00:00,1.293,1.319,1.251,1.291,80421836.4
2022-01-16 00:00:00+00:00,1.292,1.422,1.286,1.41,247977037.4
2022-01-17 00:00:00+00:00,1.411,1.607,1.386,1.603,545675409.1
2022-01-18 00:00:00+00:00,1.602,1.638,1.411,1.458,455949108.3
