date,open,high,low,close,volume
2021-07-03 00:00:00+00:00,2.1049,2.2926,2.0952,2.2583,7333361.72
2021-07-04 00:00:00+00:00,2.2587,2.3485,2.1605,2.2931,5036401.9
2021-07-05 00:00:00+00:00,2.2917,2.3077,2.1125,2.1706,5503787.63
2021-07-06 00:00:00+00:00,2.1714,2.3261,2.1698,2.2573,5570173.44
2021-07-07 00:00:00+00:00,2.2558,2.4049,2.2371,2.3103,6083421.33
2021-07-08 00:00:00+00:00,2.3078,2.3143,2.045,2.0996,5066247.48
2021-07-09 00:00:00+00:00,2.0982,2.1206,2.0101,2.0887,3495499.28
2021-07-10 00:00:00+00:00,2.0903,2.1378,2.0308,2.1117,2882487.72
2021-07-11 00:00:00+00:00,2.1128,2.2477,2.0775,2.1749,4702300.55
2021-07-12 00:00:00+00:00,2.1733,2.2292,2.0345,2.092,2893770.68
2021-07-13 00:00:00+00:00,2.09,2.0979,1.9202,1.9486,3431989.19
2021-07-14 00:00:00+00:00,1.9449,2.0865,1.8618,1.9939,5092217.19
2021-07-15 00:00:00+00:00,1.994,2.0252,1.8575,1.9249,8510383.14
2021-07-16 00:00:00+00:00,1.9279,1.9847,1.8195,1.8404,5564754.22
2021-07-17 00:00:00+00:00,1.8422,2.0398,1.8004,1.9368,8217062.75
2021-07-18 00:00:00+00:00,1.9383,1.994,1.852,1.9071,4634244.11
2021-07-19 00:00:00+00:00,1.9079,1.917,1.7156,1.7305,5448810.05
2021-07-20 00:00:00+00:00,1.7304,1.76,1.546,1.6794,6681342.14
2021-07-21 00:00:00+00:00,1.6793,1.8384,1.6228,1.8274,5211053.99
2021-07-22 00:00:00+00:00,1.8274,1.9455,1.7683,1.9353,4859018.02
2021-07-23 00:00:00+00:00,1.9352,1.945,1.8159,1.9396,3653552.64
2021-07-24 00:00:00+00:00,1.9383,2.1984,1.9175,2.138,7829846.69
2021-07-25 00:00:00+00:00,2.1376,2.3129,2.04,2.1578,9092351.59
2021-07-26 00:00:00+00:00,2.1593,2.5146,2.1315,2.1476,11318676.76
2021-07-27 00:00:00+00:00,2.1466,2.3545,2.0667,2.2354,6964593.18
2021-07-28 00:00:00+00:00,2.2349,2.3074,2.1333,2.2264,5732985.88
2021-07-29 00:00:00+00:00,2.2249,2.31,2.1855,2.2549,4150397.75
2021-07-30 00:00:00+00:00,2.2566,2.3656,2.1458,2.3225,4892056.0
2021-07-31 00:00:00+00:00,2.3264,2.5086,2.3008,2.4003,6469993.84
2021-08-01 00:00:00+00:00,2.4023,2.55,2.3768,2.3916,5894344.75
2021-08-02 00:00:00+00:00,2.3918,2.4641,2.3211,2.3513,4589924.21
2021-08-03 00:00:00+00:00,2.3517,2.3971,2.2208,2.3404,3791509.93
2021-08-04 00:00:00+00:00,2.3387,2.495,2.2563,2.4543,4811676.43
2021-08-05 00:00:00+00:00,2.4579,2.5924,2.3261,2.516,6489159.69
2021-08-06 00:00:00+00:00,2.5168,2.59,2.4256,2.525,5261709.54
2021-08-07 00:00:00+00:00,2.525,2.7905,2.478,2.781,9853613.14
2021-08-08 00:00:00+00:00,2.7815,2.7828,2.5195,2.5594,6542884.05
2021-08-09 00:00:00+00:00,2.5609,2.75,2.4636,2.6889,5163708.22
2021-08-10 00:00:00+00:00,2.688,2.9468,2.6471,2.8581,7915010.13
2021-08-11 00:00:00+00:00,2.8611,3.0453,2.8178,2.9722,6305435.53
2021-08-12 00:00:00+00:00,2.9731,3.4644,2.9601,3.3435,16880195.39
2021-08-13 00:00:00+00:00,3.3381,3.486,3.2436,3.415,6127881.47
2021-08-14 00:00:00+00:00,3.4125,3.438,3.15,3.2459,6956305.52
2021-08-15 00:00:00+00:00,3.2446,3.2769,3.0122,3.2257,6365488.03
2021-08-16 00:00:00+00:00,3.2258,3.5659,3.214,3.4614,9142952.91
2021-08-17 00:00:00+00:00,3.4614,4.0,3.3733,3.7312,19931245.22
2021-08-18 00:00:00+00:00,3.7312,4.5649,3.6001,4.4377,25691359.87
2021-08-19 00:00:00+00:00,4.4377,4.82,4.153,4.4799,15312811.65
2021-08-20 00:00:00+00:00,4.4874,4.6177,4.3093,4.41,7869110.46
2021-08-21 00:00:00+00:00,4.4126,6.25,4.3107,6.185,24554012.17
2021-08-22 00:00:00+00:00,6.1803,6.5961,5.3293,5.4536,24298040.74
2021-08-23 00:00:00+00:00,5.4536,5.8952,5.3668,5.4911,12240971.62
2021-08-24 00:00:00+00:00,5.4914,5.75,4.8692,5.0472,12775794.69
2021-08-25 00:00:00+00:00,5.0434,5.606,4.8101,5.5808,13844459.37
2021-08-26 00:00:00+00:00,5.5871,5.7676,4.801,4.87,13079598.42
2021-08-27 00:00:00+00:00,4.866,5.398,4.605,5.316,10385846.06
2021-08-28 00:00:00+00:00,5.317,5.8,5.054,5.717,10856617.01
2021-08-29 00:00:00+00:00,5.719,6.225,5.536,5.546,16018887.3
2021-08-30 00:00:00+00:00,5.548,5.888,5.234,5.324,10821251.9
2021-08-31 00:00:00+00:00,5.324,5.528,5.097,5.277,8788606.7
2021-09-01 00:00:00+00:00,5.276,5.602,5.117,5.497,6182135.1
2021-09-02 00:00:00+00:00,5.493,5.684,5.405,5.49,5780225.4
2021-09-03 00:00:00+00:00,5.49,6.8817,5.48,6.168,23936687.03
2021-09-04 00:00:00+00:00,6.171,6.377,6.0,6.077,8897737.4
2021-09-05 00:00:00+00:00,6.077,6.193,5.864,6.14,7354211.2
2021-09-06 00:00:00+00:00,6.14,6.435,5.731,6.1,9120920.5
2021-09-07 00:00:00+00:00,6.1,8.8787,5.45,8.674,65537370.13
2021-09-08 00:00:00+00:00,8.67,11.05,7.36,10.391,85075795.94
2021-09-09 00:00:00+00:00,10.371,11.88,9.62,9.72,43251049.66
2021-09-10 00:00:00+00:00,9.73,10.426,8.561,9.933,29264265.2
2021-09-11 00:00:00+00:00,9.936,9.995,8.723,9.05,18652983.2
2021-09-12 00:00:00+00:00,9.055,9.8,8.311,8.942,17466297.5
2021-09-13 00:00:00+00:00,8.944,9.04,7.704,8.201,15411427.1
2021-09-14 00:00:00+00:00,8.204,9.339,8.062,8.612,13959223.9
2021-09-15 00:00:00+00:00,8.609,9.67,8.539,9.242,11966278.6
2021-09-16 00:00:00+00:00,9.24,9.373,8.43,8.73,8995826.5
2021-09-17 00:00:00+00:00,8.724,8.955,8.108,8.322,7145946.6
2021-09-18 00:00:00+00:00,8.323,9.44,8.111,9.071,10674330.9
2021-09-19 00:00:00+00:00,9.068,10.4,8.687,10.061,18308375.3
2021-09-20 00:00:00+00:00,10.059,10.439,7.353,7.693,33667386.7
2021-09-21 00:00:00+00:00,7.686,8.0,6.338,6.701,23120824.1
2021-09-22 00:00:00+00:00,6.704,7.825,6.523,7.771,15332430.2
2021-09-23 00:00:00+00:00,7.771,9.42,7.356,9.17,19475730.6
2021-09-24 00:00:00+00:00,9.181,9.29,7.414,7.973,28241387.6
2021-09-25 00:00:00+00:00,7.972,8.44,7.455,7.618,12799556.1
2021-09-26 00:00:00+00:00,7.613,7.678,6.598,7.293,15805400.8
2021-09-27 00:00:00+00:00,7.29,7.778,6.85,6.894,8944505.3
2021-09-28 00:00:00+00:00,6.89,7.132,6.363,6.416,8849791.3
2021-09-29 00:00:00+00:00,6.42,7.346,6.363,6.641,14449088.4
2021-09-30 00:00:00+00:00,6.645,7.0,6.559,6.927,10212304.4
2021-10-01 00:00:00+00:00,6.924,8.0,6.821,7.83,16075971.3
2021-10-02 00:00:00+00:00,7.835,8.286,7.52,7.806,10055362.1
2021-10-03 00:00:00+00:00,7.805,8.493,7.609,8.036,10678587.5
2021-10-04 00:00:00+00:00,8.034,8.2,7.381,7.626,12435928.5
2021-10-05 00:00:00+00:00,7.629,8.25,7.567,7.982,10789555.4
2021-10-06 00:00:00+00:00,7.986,8.007,7.137,7.797,10142196.0
2021-10-07 00:00:00+00:00,7.793,8.48,7.5,8.284,13840188.7
2021-10-08 00:00:00+00:00,8.28,8.752,8.0,8.104,11441925.8
2021-10-09 00:00:00+00:00,8.104,8.42,7.913,8.039,5144751.3
2021-10-10 00:00:00+00:00,8.043,8.047,7.308,7.391,6770752.6
2021-10-11 00:00:00+00:00,7.39,7.861,7.205,7.42,5836733.6
2021-10-12 00:00:00+00:00,7.42,7.42,6.766,7.269,8006879.3
2021-10-13 00:00:00+00:00,7.273,7.399,6.904,7.243,6360398.7
2021-10-14 00:00:00+00:00,7.243,8.188,7.199,8.047,10050006.0
2021-10-15 00:00:00+00:00,8.045,8.28,7.632,7.868,10334268.3
2021-10-16 00:00:00+00:00,7.868,8.186,7.711,7.861,5807664.7
2021-10-17 00:00:00+00:00,7.859,8.083,7.6,7.789,4093348.0
2021-10-18 00:00:00+00:00,7.794,7.937,7.616,7.844,4288817.5
2021-10-19 00:00:00+00:00,7.843,8.263,7.743,8.186,6708326.9
2021-10-20 00:00:00+00:00,8.186,8.896,8.128,8.732,9949804.2
2021-10-21 00:00:00+00:00,8.732,9.777,8.569,9.476,16065673.8
2021-10-22 00:00:00+00:00,9.472,9.673,8.813,9.107,11781202.3
2021-10-23 00:00:00+00:00,9.104,9.425,8.821,9.313,5753605.0
2021-10-24 00:00:00+00:00,9.309,9.954,9.136,9.603,10609363.7
2021-10-25 00:00:00+00:00,9.603,12.7,9.54,12.321,31308506.4
2021-10-26 00:00:00+00:00,12.32,13.23,11.807,12.31,21980239.57
2021-10-27 00:00:00+00:00,12.31,12.84,10.289,10.849,21117290.0
2021-10-28 00:00:00+00:00,10.855,12.641,10.651,11.358,15715972.3
2021-10-29 00:00:00+00:00,11.351,11.606,11.0,11.576,7160398.6
2021-10-30 00:00:00+00:00,11.585,11.59,10.091,10.481,8276970.1
2021-10-31 00:00:00+00:00,10.495,10.71,9.644,10.157,8217698.0
2021-11-01 00:00:00+00:00,10.158,10.714,9.836,10.144,9155164.9
2021-11-02 00:00:00+00:00,10.147,10.996,10.013,10.461,7807626.9
2021-11-03 00:00:00+00:00,10.462,11.297,10.194,10.96,9805337.6
2021-11-04 00:00:00+00:00,10.962,11.5,10.284,10.601,7916961.8
2021-11-05 00:00:00+00:00,10.6,11.007,10.122,10.364,5548643.6
2021-11-06 00:00:00+00:00,10.362,10.6,9.77,10.19,6725650.9
2021-11-07 00:00:00+00:00,10.194,10.555,10.061,10.332,4914225.0
2021-11-08 00:00:00+00:00,10.331,10.817,10.0,10.715,7182245.9
2021-11-09 00:00:00+00:00,10.717,11.85,10.479,11.374,11080315.4
2021-11-10 00:00:00+00:00,11.378,11.8,9.94,10.778,13330896.9
2021-11-11 00:00:00+00:00,10.766,12.54,10.561,12.042,14121617.6
2021-11-12 00:00:00+00:00,12.038,12.657,10.905,11.407,11350822.7
2021-11-13 00:00:00+00:00,11.405,11.437,10.837,11.152,5615530.6
2021-11-14 00:00:00+00:00,11.151,11.9,11.134,11.867,7175130.2
2021-11-15 00:00:00+00:00,11.87,11.978,11.034,11.08,5755518.3
2021-11-16 00:00:00+00:00,11.077,11.146,8.969,9.675,14245295.3
2021-11-17 00:00:00+00:00,9.674,9.838,9.126,9.415,7952125.9
2021-11-18 00:00:00+00:00,9.417,9.89,8.399,8.799,9791755.5
2021-11-19 00:00:00+00:00,8.799,9.579,8.643,9.422,6166435.0
