date,open,high,low,close,volume
2021-07-02 00:00:00+00:00,33.27,34.217,31.367,34.0,4324198.276
2021-07-03 00:00:00+00:00,34.001,35.406,33.217,34.498,3063406.141
2021-07-04 00:00:00+00:00,34.497,35.531,33.533,34.28,2972213.418
2021-07-05 00:00:00+00:00,34.278,34.49,32.37,32.908,3008984.082
2021-07-06 00:00:00+00:00,32.908,35.041,32.883,34.226,3289698.061
2021-07-07 00:00:00+00:00,34.221,38.1,33.82,36.673,4609258.553
2021-07-08 00:00:00+00:00,36.667,36.934,32.654,33.142,4495022.54
2021-07-09 00:00:00+00:00,33.134,34.46,31.976,33.315,2810263.602
2021-07-10 00:00:00+00:00,33.315,34.215,31.025,31.693,2838074.586
2021-07-11 00:00:00+00:00,31.716,32.568,31.3,32.182,1944815.804
2021-07-12 00:00:00+00:00,32.173,32.696,30.011,30.77,2251239.269
2021-07-13 00:00:00+00:00,30.77,31.096,28.81,29.136,1837132.436
2021-07-14 00:00:00+00:00,29.154,31.5,27.363,31.365,3434185.178
2021-07-15 00:00:00+00:00,31.365,31.485,27.975,28.545,3643011.529
2021-07-16 00:00:00+00:00,28.562,29.478,26.196,26.271,2923575.792
2021-07-17 00:00:00+00:00,26.269,27.836,25.979,26.802,2122389.101
2021-07-18 00:00:00+00:00,26.789,27.756,26.233,26.673,1727601.788
2021-07-19 00:00:00+00:00,26.679,26.71,23.975,24.509,3131177.977
2021-07-20 00:00:00+00:00,24.524,24.982,22.1,23.474,3555428.542
2021-07-21 00:00:00+00:00,23.484,27.461,22.8,26.7,4561993.007
2021-07-22 00:00:00+00:00,26.706,28.17,25.91,27.699,2643783.144
2021-07-23 00:00:00+00:00,27.7,28.713,26.385,28.516,3040520.321
2021-07-24 00:00:00+00:00,28.53,29.548,28.013,28.616,2678108.81
2021-07-25 00:00:00+00:00,28.626,28.898,26.5,28.248,2350991.534
2021-07-26 00:00:00+00:00,28.247,31.115,27.83,28.184,6221691.897
2021-07-27 00:00:00+00:00,28.183,28.95,26.893,28.103,3008374.757
2021-07-28 00:00:00+00:00,28.119,28.76,27.354,27.875,2329901.559
2021-07-29 00:00:00+00:00,27.891,31.888,27.319,31.235,3692050.445
2021-07-30 00:00:00+00:00,31.238,33.084,29.91,32.354,4970660.009
2021-07-31 00:00:00+00:00,32.354,37.004,31.653,36.744,4320145.537
2021-08-01 00:00:00+00:00,36.742,36.822,33.165,34.165,3490975.158
2021-08-02 00:00:00+00:00,34.178,35.95,33.0,33.167,3105881.294
2021-08-03 00:00:00+00:00,33.177,35.9,32.327,34.105,3490191.638
2021-08-04 00:00:00+00:00,34.094,36.658,33.236,35.76,2847838.669
2021-08-05 00:00:00+00:00,35.757,38.267,35.5,37.353,4059371.083
2021-08-06 00:00:00+00:00,37.354,40.4,35.611,39.525,3951317.574
2021-08-07 00:00:00+00:00,39.502,40.5,37.502,39.469,3561767.701
2021-08-08 00:00:00+00:00,39.454,39.549,36.896,37.65,2030535.723
2021-08-09 00:00:00+00:00,37.653,39.999,36.351,38.646,2128198.741
2021-08-10 00:00:00+00:00,38.646,41.678,38.183,40.64,2603195.665
2021-08-11 00:00:00+00:00,40.639,43.729,40.605,41.621,2512250.555
2021-08-12 00:00:00+00:00,41.619,43.401,39.316,41.102,2413664.412
2021-08-13 00:00:00+00:00,41.105,44.911,40.668,44.83,2281339.99
2021-08-14 00:00:00+00:00,44.859,44.874,42.727,44.14,1548818.722
2021-08-15 00:00:00+00:00,44.124,54.8,43.361,53.531,6264283.565
2021-08-16 00:00:00+00:00,53.515,69.132,52.269,62.016,15014364.928
2021-08-17 00:00:00+00:00,62.042,75.155,58.822,64.123,14953825.95
2021-08-18 00:00:00+00:00,64.135,80.5,59.722,72.663,15022132.453
2021-08-19 00:00:00+00:00,72.659,75.436,68.24,72.764,7819221.598
2021-08-20 00:00:00+00:00,72.8,80.0,70.873,78.643,5705076.722
2021-08-21 00:00:00+00:00,78.684,82.0,72.6,73.801,5131799.362
2021-08-22 00:00:00+00:00,73.852,77.6,71.244,72.775,2862187.053
2021-08-23 00:00:00+00:00,72.751,76.81,71.545,75.623,4150780.595
2021-08-24 00:00:00+00:00,75.647,79.45,68.5,70.527,6792636.137
2021-08-25 00:00:00+00:00,70.519,72.83,66.03,71.973,5069064.804
2021-08-26 00:00:00+00:00,71.982,78.3,66.2,74.92,6563670.747
2021-08-27 00:00:00+00:00,74.92,88.92,72.55,87.98,8785637.093
2021-08-28 00:00:00+00:00,87.98,97.82,85.59,96.22,5774371.258
2021-08-29 00:00:00+00:00,96.17,97.82,90.3,94.23,4171861.65
2021-08-30 00:00:00+00:00,94.23,116.84,93.58,110.25,11109542.615
2021-08-31 00:00:00+00:00,110.26,130.11,103.06,108.27,16509565.592
2021-09-01 00:00:00+00:00,108.27,119.72,105.89,110.71,8028303.79
2021-09-02 00:00:00+00:00,110.71,131.96,109.18,128.23,9206853.472
2021-09-03 00:00:00+00:00,128.2,148.99,128.12,146.4,11927061.37
2021-09-04 00:00:00+00:00,146.36,150.6,135.73,138.88,6134062.526
2021-09-05 00:00:00+00:00,138.88,144.99,134.74,142.0,4619885.42
2021-09-06 00:00:00+00:00,141.98,166.13,136.92,164.22,8435542.353
2021-09-07 00:00:00+00:00,164.19,195.48,128.01,173.46,24376489.011
2021-09-08 00:00:00+00:00,173.49,198.0,146.5,191.02,16666845.8
2021-09-09 00:00:00+00:00,191.02,216.0,180.7,187.9,16349677.82
2021-09-10 00:00:00+00:00,187.89,197.41,167.82,179.6,9055410.7
2021-09-11 00:00:00+00:00,179.6,193.51,175.14,179.04,6794663.25
2021-09-12 00:00:00+00:00,179.05,181.75,170.15,174.29,3661211.64
2021-09-13 00:00:00+00:00,174.31,175.0,150.3,169.53,8423839.46
2021-09-14 00:00:00+00:00,169.54,171.83,142.6,158.88,7981396.52
2021-09-15 00:00:00+00:00,158.72,166.5,153.69,158.79,6107319.6
2021-09-16 00:00:00+00:00,158.77,163.5,147.35,152.29,4739595.73
2021-09-17 00:00:00+00:00,152.3,153.55,134.0,147.58,7629925.55
2021-09-18 00:00:00+00:00,147.59,171.47,144.1,169.22,8229799.94
2021-09-19 00:00:00+00:00,169.22,170.96,150.6,152.76,4945800.1
2021-09-20 00:00:00+00:00,152.78,153.43,130.26,132.77,10153368.71
2021-09-21 00:00:00+00:00,132.77,144.64,116.0,124.29,9608867.72
2021-09-22 00:00:00+00:00,124.3,151.36,122.1,148.02,7460596.34
2021-09-23 00:00:00+00:00,148.02,152.5,142.92,149.91,5188932.77
2021-09-24 00:00:00+00:00,149.9,151.2,128.15,139.13,6710404.45
2021-09-25 00:00:00+00:00,139.11,144.18,133.54,136.06,3212733.31
2021-09-26 00:00:00+00:00,136.05,140.81,124.8,135.64,4342156.13
2021-09-27 00:00:00+00:00,135.7,148.92,133.72,136.35,5195624.27
2021-09-28 00:00:00+00:00,136.34,139.4,128.17,132.2,3899945.58
2021-09-29 00:00:00+00:00,132.22,140.17,131.12,135.25,3685498.28
2021-09-30 00:00:00+00:00,135.24,142.95,134.02,141.37,3361454.58
2021-10-01 00:00:00+00:00,141.38,164.95,138.25,161.56,6742166.88
2021-10-02 00:00:00+00:00,161.62,175.0,156.06,168.98,5059987.02
2021-10-03 00:00:00+00:00,169.0,177.79,165.58,172.98,4233767.25
2021-10-04 00:00:00+00:00,172.99,173.34,162.0,167.13,4312499.92
2021-10-05 00:00:00+00:00,167.13,170.18,159.68,164.62,3378441.71
2021-10-06 00:00:00+00:00,164.64,165.42,150.1,153.87,4499161.76
2021-10-07 00:00:00+00:00,153.9,161.42,150.34,154.26,3251376.58
2021-10-08 00:00:00+00:00,154.26,168.97,152.39,158.86,3735085.38
2021-10-09 00:00:00+00:00,158.88,161.54,154.18,156.84,1833309.02
2021-10-10 00:00:00+00:00,156.8,158.5,145.55,147.55,2037895.69
2021-10-11 00:00:00+00:00,147.56,154.0,140.24,144.77,2211323.14
2021-10-12 00:00:00+00:00,144.79,153.5,137.61,152.32,3377483.32
