entry_date,exit_date,entry_price,exit_price,entry_trigger_price,exit_trigger_price,gross_return_pct,return_pct,cost_pct,hold_days,exit_reason,profit
2021-10-04,2021-10-06,2.2521255,2.11488203,2.251,2.11594,-6.0,-6.282,0.282,2,stop_loss,False
2021-10-07,2021-10-11,2.2101045,2.1879055,2.209,2.189,-0.905,-1.202,0.297,4,signal_exit,False
2021-10-16,2021-10-17,2.2181085,2.176911,2.217,2.178,-1.759,-2.053,0.294,1,signal_exit,False
2021-11-09,2021-11-10,2.127063,1.99744078,2.126,1.99844,-6.0,-6.282,0.282,1,stop_loss,False
2021-11-29,2021-12-04,1.5957975,1.49855035,1.595,1.4993,-6.0,-6.282,0.282,5,stop_loss,False
2021-12-07,2021-12-09,1.42071,1.3341326,1.42,1.3348,-6.0,-6.282,0.282,2,stop_loss,False
2021-12-23,2021-12-27,1.3276635,1.5916038,1.327,1.5924,20.0,19.641,0.359,4,take_profit,True
2022-05-05,2022-05-05,0.8990493,0.84426166,0.8986,0.844684,-6.0,-6.282,0.282,0,stop_loss,False
2022-10-22,2022-10-27,0.3493746,0.41883048,0.3492,0.41904,20.0,19.641,0.359,5,take_profit,True
2022-12-14,2022-12-15,0.3143571,0.307846,0.3142,0.308,-1.973,-2.267,0.294,1,signal_exit,False
2023-02-02,2023-02-05,0.3971985,0.39910035,0.397,0.3993,0.579,0.278,0.301,3,signal_exit,True
2023-02-08,2023-02-09,0.39909945,0.37477852,0.3989,0.374966,-6.0,-6.282,0.282,1,stop_loss,False
2023-02-16,2023-02-16,0.4192095,0.39366307,0.419,0.39386,-6.0,-6.282,0.282,0,stop_loss,False
2023-02-21,2023-02-22,0.40390185,0.37928826,0.4037,0.379478,-6.0,-6.282,0.282,1,stop_loss,False
2023-02-23,2023-02-24,0.38909445,0.36538322,0.3889,0.365566,-6.0,-6.282,0.282,1,stop_loss,False
2023-03-12,2023-03-14,0.30525255,0.36593694,0.3051,0.36612,20.0,19.641,0.359,2,take_profit,True
2023-03-15,2023-03-15,0.34307145,0.32216484,0.3429,0.322326,-6.0,-6.282,0.282,0,stop_loss,False
2023-03-22,2023-03-25,0.36968475,0.35952015,0.3695,0.3597,-2.652,-2.944,0.292,3,signal_exit,False
2023-04-11,2023-05-08,0.39729855,0.37308736,0.3971,0.373274,-6.0,-6.282,0.282,27,stop_loss,False
2023-05-09,2023-05-22,0.36548265,0.3600199,0.3653,0.3602,-1.396,-1.691,0.295,13,signal_exit,False
2023-05-28,2023-06-06,0.36688335,0.34452565,0.3667,0.344698,-6.0,-6.282,0.282,9,stop_loss,False
2023-06-13,2023-06-14,0.27483735,0.25808889,0.2747,0.258218,-6.0,-6.282,0.282,1,stop_loss,False
2023-11-02,2023-11-05,0.3073536,0.3276361,0.3072,0.3278,6.706,6.386,0.32,3,signal_exit,True
