entry_date,exit_date,entry_price,exit_price,entry_trigger_price,exit_trigger_price,gross_return_pct,return_pct,cost_pct,hold_days,exit_reason,profit
2021-07-27,2021-08-04,11.38569,12.121936,11.38,12.128,6.573,6.254,0.319,8,signal_exit,True
2021-09-11,2021-09-11,29.4147,27.622182,29.4,27.636,-6.0,-6.282,0.282,0,stop_loss,False
2021-09-23,2021-09-24,39.729855,37.3087363,39.71,37.3274,-6.0,-6.282,0.282,1,stop_loss,False
2021-09-25,2021-09-25,42.58128,39.9863968,42.56,40.0064,-6.0,-6.282,0.282,0,stop_loss,False
2021-10-20,2021-10-26,35.007495,41.967006,34.99,41.988,20.0,19.641,0.359,6,take_profit,True
2021-11-04,2021-11-04,38.509245,36.1625097,38.49,36.1806,-6.0,-6.282,0.282,0,stop_loss,False
2021-12-04,2021-12-04,32.806395,30.8071887,32.79,30.8226,-6.0,-6.282,0.282,0,stop_loss,False
2022-01-13,2022-01-13,40.230105,37.7785013,40.21,37.7974,-6.0,-6.282,0.282,0,stop_loss,False
2022-01-17,2022-01-17,43.68183,41.0198798,43.66,41.0404,-6.0,-6.282,0.282,0,stop_loss,False
2022-01-23,2022-01-24,29.29464,35.118432,29.28,35.136,20.0,19.641,0.359,1,take_profit,True
2022-02-02,2022-02-02,28.85442,27.0960452,28.84,27.1096,-6.0,-6.282,0.282,0,stop_loss,False
2022-02-08,2022-02-08,31.65582,29.7267292,31.64,29.7416,-6.0,-6.282,0.282,0,stop_loss,False
2022-02-10,2022-02-10,30.925455,29.0408723,30.91,29.0554,-6.0,-6.282,0.282,0,stop_loss,False
2022-03-01,2022-03-06,31.37568,30.84457,31.36,30.86,-1.594,-1.889,0.295,5,signal_exit,False
2022-04-04,2022-04-05,31.97598,30.0273788,31.96,30.0424,-6.0,-6.282,0.282,1,stop_loss,False
2022-05-03,2022-05-07,17.8089,16.723634,17.8,16.732,-6.0,-6.282,0.282,4,stop_loss,False
2022-05-14,2022-05-14,10.32516,9.6959496,10.32,9.7008,-6.0,-6.282,0.282,0,stop_loss,False
2022-06-16,2022-06-16,7.32366,6.8773596,7.32,6.8808,-6.0,-6.282,0.282,0,stop_loss,False
2022-08-31,2022-09-06,11.935965,12.623685,11.93,12.63,5.868,5.55,0.317,6,signal_exit,True
2022-09-17,2022-09-18,16.6083,15.596198,16.6,15.604,-6.0,-6.282,0.282,1,stop_loss,False
2022-09-23,2022-09-23,14.6363145,13.74438437,14.629,13.75126,-6.0,-6.282,0.282,0,stop_loss,False
2022-10-28,2022-11-04,12.664329,15.1820052,12.658,15.1896,20.0,19.641,0.359,7,take_profit,True
2023-01-26,2023-01-27,13.568781,12.74190586,13.562,12.74828,-6.0,-6.282,0.282,1,stop_loss,False
2023-01-28,2023-02-13,13.536765,12.7118409,13.53,12.7182,-6.0,-6.282,0.282,16,stop_loss,False
2023-02-16,2023-02-16,14.3041485,13.43246041,14.297,13.43918,-6.0,-6.282,0.282,0,stop_loss,False
2023-02-18,2023-02-22,14.177085,13.3131401,14.17,13.3198,-6.0,-6.282,0.282,4,stop_loss,False
2023-03-02,2023-03-03,12.7853895,12.00625387,12.779,12.01226,-6.0,-6.282,0.282,1,stop_loss,False
2023-03-15,2023-03-15,13.044519,12.24959214,13.038,12.25572,-6.0,-6.282,0.282,0,stop_loss,False
2023-04-15,2023-04-19,12.258126,11.51112156,12.252,11.51688,-6.0,-6.282,0.282,4,stop_loss,False
2023-04-29,2023-05-01,11.7208575,11.5072435,11.715,11.513,-1.724,-2.019,0.294,2,signal_exit,False
2023-05-13,2023-05-14,11.1565755,10.876559,11.151,10.882,-2.412,-2.705,0.292,1,signal_exit,False
2023-11-10,2023-11-12,9.030513,9.2363795,9.026,9.241,2.382,2.075,0.307,2,signal_exit,True
2023-11-26,2023-11-28,9.4957455,8.91707923,9.491,8.92154,-6.0,-6.282,0.282,2,stop_loss,False
2023-12-02,2023-12-12,9.470733,11.3535204,9.466,11.3592,20.0,19.641,0.359,10,take_profit,True
2023-12-14,2023-12-15,11.66583,10.9549198,11.66,10.9604,-6.0,-6.282,0.282,1,stop_loss,False
2023-12-21,2024-01-03,10.667331,10.01726886,10.662,10.02228,-6.0,-6.282,0.282,13,stop_loss,False
2024-01-04,2024-01-07,9.926961,9.32201666,9.922,9.32668,-6.0,-6.282,0.282,3,stop_loss,False
2024-01-09,2024-01-10,9.952974,9.34644444,9.948,9.35112,-6.0,-6.282,0.282,1,stop_loss,False
2024-01-12,2024-01-12,10.6603275,10.01069215,10.655,10.0157,-6.0,-6.282,0.282,0,stop_loss,False
2024-02-08,2024-02-23,9.6017985,9.7821065,9.597,9.787,1.98,1.674,0.305,15,signal_exit,True
2024-02-25,2024-03-04,10.423209,12.4953492,10.418,12.5016,20.0,19.641,0.359,8,take_profit,True
2024-03-21,2024-04-02,11.7628785,11.04605421,11.757,11.05158,-6.0,-6.282,0.282,12,stop_loss,False
2024-04-07,2024-04-10,11.1045495,10.42784347,11.099,10.43306,-6.0,-6.282,0.282,3,stop_loss,False
2024-04-11,2024-04-12,10.819407,10.16007742,10.814,10.16516,-6.0,-6.282,0.282,1,stop_loss,False
2024-10-30,2024-10-31,4.5392685,4.453772,4.537,4.456,-1.785,-2.08,0.294,1,signal_exit,False
2024-11-19,2024-11-20,6.4722345,6.07781957,6.469,6.08086,-6.0,-6.282,0.282,1,stop_loss,False
2024-12-14,2024-12-15,9.2046,8.967514,9.2,8.972,-2.478,-2.77,0.292,1,signal_exit,False
2024-12-16,2024-12-17,9.1155555,8.56005783,9.111,8.56434,-6.0,-6.282,0.282,1,stop_loss,False
2024-12-19,2024-12-19,7.6568265,7.19022309,7.653,7.19382,-6.0,-6.282,0.282,0,stop_loss,False
2024-12-24,2024-12-26,6.9584775,6.53443115,6.955,6.5377,-6.0,-6.282,0.282,2,stop_loss,False
2025-01-04,2025-01-07,7.427712,6.97507072,7.424,6.97856,-6.0,-6.282,0.282,3,stop_loss,False
2025-01-16,2025-01-19,6.6683325,6.26196745,6.665,6.2651,-6.0,-6.282,0.282,3,stop_loss,False
2025-01-26,2025-01-27,6.1980975,5.82038835,6.195,5.8233,-6.0,-6.282,0.282,1,stop_loss,False
2025-04-04,2025-04-07,4.6533255,4.4387795,4.651,4.441,-4.515,-4.801,0.286,3,signal_exit,False
2025-04-23,2025-04-29,4.3131555,4.4587695,4.311,4.461,3.479,3.169,0.31,6,signal_exit,True
2025-06-11,2025-06-12,4.604301,4.32371706,4.602,4.32588,-6.0,-6.282,0.282,1,stop_loss,False
2025-07-28,2025-07-29,4.8774375,4.6406785,4.875,4.643,-4.759,-5.044,0.285,1,signal_exit,False
2025-08-09,2025-08-12,4.6073025,4.483757,4.605,4.486,-2.584,-2.876,0.292,3,signal_exit,False
2025-08-13,2025-08-15,4.708353,4.42142818,4.706,4.42364,-6.0,-6.282,0.282,2,stop_loss,False
2025-08-18,2025-08-19,4.6233105,4.34156813,4.621,4.34374,-6.0,-6.282,0.282,1,stop_loss,False
2025-08-23,2025-08-25,4.82241,4.5285346,4.82,4.5308,-6.0,-6.282,0.282,2,stop_loss,False
2025-08-29,2025-08-29,4.784391,4.49283246,4.782,4.49508,-6.0,-6.282,0.282,0,stop_loss,False
2025-09-09,2025-09-21,4.5432705,4.449774,4.541,4.452,-1.96,-2.254,0.294,12,signal_exit,False
2025-11-08,2025-11-09,3.051525,2.8655665,3.05,2.867,-6.0,-6.282,0.282,1,stop_loss,False
2026-05-07,2026-05-08,1.902951,1.885057,1.902,1.886,-0.841,-1.138,0.297,1,signal_exit,False
2026-05-11,2026-05-16,2.0140065,1.9280355,2.013,1.929,-4.173,-4.46,0.287,5,signal_exit,False
2026-05-26,2026-05-28,2.137068,2.00683608,2.136,2.00784,-6.0,-6.282,0.282,2,stop_loss,False
2026-06-12,2026-06-17,2.0360175,1.91194355,2.035,1.9129,-6.0,-6.282,0.282,5,stop_loss,False
