entry_date,exit_date,entry_price,exit_price,entry_trigger_price,exit_trigger_price,gross_return_pct,return_pct,cost_pct,hold_days,exit_reason,profit
2021-09-11,2021-09-11,49.354665,59.166402,49.33,59.196,20.0,19.641,0.359,0,take_profit,True
2021-09-13,2021-09-13,59.239605,55.6295713,59.21,55.6574,-6.0,-6.282,0.282,0,stop_loss,False
2021-10-22,2021-10-27,61.51074,57.7623044,61.48,57.7912,-6.0,-6.282,0.282,5,stop_loss,False
2021-12-14,2021-12-15,79.089525,94.81257,79.05,94.86,20.0,19.641,0.359,1,take_profit,True
2021-12-16,2021-12-21,101.33064,121.475232,101.28,121.536,20.0,19.641,0.359,5,take_profit,True
2022-01-01,2022-01-04,109.484715,108.055945,109.43,108.11,-1.206,-1.502,0.296,3,signal_exit,False
2022-01-22,2022-01-22,66.063015,62.0371659,66.03,62.0682,-6.0,-6.282,0.282,0,stop_loss,False
2022-01-26,2022-01-27,68.044005,63.8974353,68.01,63.9294,-6.0,-6.282,0.282,1,stop_loss,False
2022-01-31,2022-02-03,67.97397,67.756105,67.94,67.79,-0.221,-0.52,0.299,3,signal_exit,False
2022-02-05,2022-02-08,77.8389,93.31332,77.8,93.36,20.0,19.641,0.359,3,take_profit,True
2022-02-09,2022-02-11,86.393175,81.1284155,86.35,81.169,-6.0,-6.282,0.282,2,stop_loss,False
2022-02-16,2022-02-17,93.00648,87.3387088,92.96,87.3824,-6.0,-6.282,0.282,1,stop_loss,False
2022-02-25,2022-02-28,76.428195,75.02247,76.39,75.06,-1.741,-2.035,0.294,3,signal_exit,False
2022-03-01,2022-03-03,84.58227,79.4278662,84.54,79.4676,-6.0,-6.282,0.282,2,stop_loss,False
2022-03-19,2022-04-02,85.76286,102.812568,85.72,102.864,20.0,19.641,0.359,14,take_profit,True
2022-05-14,2022-05-14,32.2161,30.252866,32.2,30.268,-6.0,-6.282,0.282,0,stop_loss,False
2022-05-17,2022-05-18,32.57628,30.5910968,32.56,30.6064,-6.0,-6.282,0.282,1,stop_loss,False
2022-08-30,2022-09-06,19.32966,18.1517196,19.32,18.1608,-6.0,-6.282,0.282,7,stop_loss,False
2023-02-16,2023-02-16,19.94997,18.7342282,19.94,18.7436,-6.0,-6.282,0.282,0,stop_loss,False
2023-02-19,2023-02-24,19.559775,18.3678115,19.55,18.377,-6.0,-6.282,0.282,5,stop_loss,False
2023-03-02,2023-03-03,17.76888,16.6860528,17.76,16.6944,-6.0,-6.282,0.282,1,stop_loss,False
2023-03-07,2023-03-08,16.518255,15.5116403,16.51,15.5194,-6.0,-6.282,0.282,1,stop_loss,False
2023-03-15,2023-03-15,17.158575,16.1129395,17.15,16.121,-6.0,-6.282,0.282,0,stop_loss,False
2023-03-18,2023-03-20,17.64882,16.5733092,17.64,16.5816,-6.0,-6.282,0.282,2,stop_loss,False
2023-03-30,2023-04-17,17.32866,20.773608,17.32,20.784,20.0,19.641,0.359,18,take_profit,True
2023-04-20,2023-04-21,18.98949,17.8322794,18.98,17.8412,-6.0,-6.282,0.282,1,stop_loss,False
2023-04-27,2023-05-08,17.18859,16.1411254,17.18,16.1492,-6.0,-6.282,0.282,11,stop_loss,False
2023-06-14,2023-06-15,11.8059,11.086454,11.8,11.092,-6.0,-6.282,0.282,1,stop_loss,False
2023-06-16,2023-06-25,11.4057,13.67316,11.4,13.68,20.0,19.641,0.359,9,take_profit,True
2023-08-26,2023-09-02,10.055025,9.91504,10.05,9.92,-1.294,-1.589,0.296,7,signal_exit,False
2023-10-23,2023-10-28,10.095045,10.5947,10.09,10.6,5.055,4.74,0.315,5,signal_exit,True
2023-12-01,2023-12-06,21.4107,25.66716,21.4,25.68,20.0,19.641,0.359,5,take_profit,True
