entry_date,exit_date,entry_price,exit_price,entry_trigger_price,exit_trigger_price,gross_return_pct,return_pct,cost_pct,hold_days,exit_reason,profit
2021-07-27,2021-08-01,304.152,332.21381,304.0,332.38,9.336,9.008,0.328,5,signal_exit,True
2021-09-14,2021-09-20,399.29955,374.966423,399.1,375.154,-6.0,-6.282,0.282,6,stop_loss,False
2021-10-01,2021-10-07,387.69375,434.68255,387.5,434.9,12.232,11.896,0.336,6,signal_exit,True
2021-10-29,2021-11-05,492.246,590.1048,492.0,590.4,20.0,19.641,0.359,7,take_profit,True
2021-11-26,2021-11-26,639.41955,600.453623,639.1,600.754,-6.0,-6.282,0.282,0,stop_loss,False
2021-11-29,2021-12-03,611.7057,574.428642,611.4,574.716,-6.0,-6.282,0.282,4,stop_loss,False
2021-12-09,2021-12-09,607.60365,570.576569,607.3,570.862,-6.0,-6.282,0.282,0,stop_loss,False
2022-06-16,2022-06-16,233.7168,219.474208,233.6,219.584,-6.0,-6.282,0.282,0,stop_loss,False
2022-11-24,2022-12-08,299.04945,284.0579,298.9,284.2,-4.918,-5.203,0.285,14,signal_exit,False
2022-12-09,2022-12-10,290.5452,285.95695,290.4,286.1,-1.481,-1.776,0.295,1,signal_exit,False
2023-01-21,2023-02-13,305.25255,286.650603,305.1,286.794,-6.0,-6.282,0.282,23,stop_loss,False
2023-02-16,2023-02-25,317.65875,298.300775,317.5,298.45,-6.0,-6.282,0.282,9,stop_loss,False
2023-03-07,2023-03-10,288.04395,270.490687,287.9,270.626,-6.0,-6.282,0.282,3,stop_loss,False
2023-03-13,2023-03-18,288.24405,345.54714,288.1,345.72,20.0,19.641,0.359,5,take_profit,True
2023-04-05,2023-06-05,310.9554,292.005924,310.8,292.152,-6.0,-6.282,0.282,61,stop_loss,False
2023-06-14,2023-06-25,244.22205,236.2818,244.1,236.4,-3.154,-3.445,0.29,11,signal_exit,False
2023-08-23,2023-08-31,211.00545,223.6881,210.9,223.8,6.117,5.799,0.318,8,signal_exit,True
2023-11-16,2023-11-17,253.82685,238.358761,253.7,238.478,-6.0,-6.282,0.282,1,stop_loss,False
2023-11-21,2023-11-21,253.22655,237.795043,253.1,237.914,-6.0,-6.282,0.282,0,stop_loss,False
2023-12-09,2023-12-26,238.9194,286.41672,238.8,286.56,20.0,19.641,0.359,17,take_profit,True
2024-01-12,2024-01-12,308.3541,289.563146,308.2,289.708,-6.0,-6.282,0.282,0,stop_loss,False
