entry_date,exit_date,entry_price,exit_price,entry_trigger_price,exit_trigger_price,gross_return_pct,return_pct,cost_pct,hold_days,exit_reason,profit
2021-07-19,2021-07-20,31794.4593,29856.9199,31778.57,29871.8558,-6.0,-6.282,0.282,1,stop_loss,False
2021-07-21,2021-07-26,29805.2352,35730.5338,29790.34,35748.408,20.0,19.641,0.359,5,take_profit,True
2021-08-20,2021-08-24,46784.0003,49464.1056,46760.62,49488.85,5.834,5.517,0.317,4,signal_exit,True
2021-09-02,2021-09-07,48834.9153,45858.9385,48810.51,45881.8794,-6.0,-6.282,0.282,5,stop_loss,False
2021-09-16,2021-09-20,48145.4607,45211.4989,48121.4,45234.116,-6.0,-6.282,0.282,4,stop_loss,False
2021-09-22,2021-09-28,40754.457,42126.2763,40734.09,42147.35,3.469,3.16,0.31,6,signal_exit,True
2021-10-02,2021-10-08,48165.6708,53758.3274,48141.6,53785.22,11.723,11.388,0.335,6,signal_exit,True
2021-11-03,2021-11-04,63252.1803,62865.0418,63220.57,62896.49,-0.513,-0.811,0.298,1,signal_exit,False
2021-11-24,2021-11-26,57570.0306,54061.74,57541.26,54088.7844,-6.0,-6.282,0.282,2,stop_loss,False
2022-01-25,2022-02-02,36678.6802,38675.2427,36660.35,38694.59,5.549,5.233,0.316,8,signal_exit,True
2022-03-17,2022-03-29,41134.567,47098.6489,41114.01,47122.21,14.614,14.27,0.343,12,signal_exit,True
2022-05-05,2022-05-06,39709.845,37289.9457,39690.0,37308.6,-6.0,-6.282,0.282,1,stop_loss,False
2022-05-14,2022-05-27,29301.6935,29186.7493,29287.05,29201.35,-0.293,-0.591,0.299,13,signal_exit,False
2022-06-20,2022-06-30,20584.287,19329.8902,20574.0,19339.56,-6.0,-6.282,0.282,10,stop_loss,False
2022-08-31,2022-09-07,19822.9365,18614.9361,19813.03,18624.2482,-6.0,-6.282,0.282,7,stop_loss,False
2023-02-08,2023-02-09,23254.0412,21836.9509,23242.42,21847.8748,-6.0,-6.282,0.282,1,stop_loss,False
2023-02-13,2023-03-09,21793.2612,20465.1901,21782.37,20475.4278,-6.0,-6.282,0.282,24,stop_loss,False
2023-03-10,2023-03-13,20372.3911,24422.4347,20362.21,24434.652,20.0,19.641,0.359,3,take_profit,True
2023-03-30,2023-04-07,28362.7743,28019.8131,28348.6,28033.83,-1.11,-1.407,0.296,8,signal_exit,False
2023-04-10,2023-05-12,28337.9219,26611.0222,28323.76,26624.3344,-6.0,-6.282,0.282,32,stop_loss,False
2023-05-30,2023-06-03,27750.2582,27228.9687,27736.39,27242.59,-1.78,-2.075,0.294,4,signal_exit,False
2023-06-07,2023-06-08,27243.685,26326.1703,27230.07,26339.34,-3.271,-3.561,0.29,1,signal_exit,False
2023-06-14,2023-06-23,25947.2071,31105.5275,25934.24,31121.088,20.0,19.641,0.359,9,take_profit,True
2023-07-12,2023-08-01,30637.411,28770.3816,30622.1,28784.774,-6.0,-6.282,0.282,20,stop_loss,False
2023-08-04,2023-08-13,29208.2468,29415.4649,29193.65,29430.18,0.81,0.508,0.302,9,signal_exit,True
2023-08-15,2023-08-17,29445.6355,27651.2323,29430.92,27665.0648,-6.0,-6.282,0.282,2,stop_loss,False
2023-08-24,2023-08-31,26445.9264,27286.34,26432.71,27299.99,3.281,2.972,0.309,7,signal_exit,True
2023-10-17,2023-10-23,28515.0204,34183.8235,28500.77,34200.924,20.0,19.641,0.359,6,take_profit,True
2023-11-10,2023-11-12,36719.4505,37111.425,36701.1,37129.99,1.169,0.866,0.303,2,signal_exit,True
2023-11-20,2023-12-09,37378.5299,44148.9145,37359.85,44171.0,18.231,17.877,0.354,19,signal_exit,True
2023-12-19,2024-01-22,42679.1289,40078.2828,42657.8,40098.332,-6.0,-6.282,0.282,34,stop_loss,False
2024-01-25,2024-02-09,40104.9324,48077.8171,40084.89,48101.868,20.0,19.641,0.359,15,take_profit,True
2024-02-14,2024-02-17,49724.4498,52098.0379,49699.6,52124.1,4.878,4.564,0.314,3,signal_exit,True
2024-02-28,2024-03-02,57065.8687,62356.7061,57037.35,62387.9,9.381,9.053,0.328,3,signal_exit,True
2024-03-21,2024-03-22,67874.4303,63738.1944,67840.51,63770.0794,-6.0,-6.282,0.282,1,stop_loss,False
2024-03-26,2024-04-02,69914.94,65654.3564,69880.0,65687.2,-6.0,-6.282,0.282,7,stop_loss,False
2024-04-05,2024-04-13,68522.0439,64346.3427,68487.8,64378.532,-6.0,-6.282,0.282,8,stop_loss,False
