entry_date,exit_date,entry_price,exit_price,entry_trigger_price,exit_trigger_price,gross_return_pct,return_pct,cost_pct,hold_days,exit_reason,profit
2021-06-24,2021-06-25,0.2349,0.2816,0.2347,0.2817,20.0,19.641,0.359,1,take_profit,True
2021-07-05,2021-07-06,0.2465,0.2315,0.2464,0.2316,-6.0,-6.282,0.282,1,stop_loss,False
2021-07-17,2021-07-20,0.1721,0.1616,0.172,0.1617,-6.0,-6.282,0.282,3,stop_loss,False
2021-08-28,2021-08-29,0.2945,0.2766,0.2944,0.2767,-6.0,-6.282,0.282,1,stop_loss,False
2021-09-05,2021-09-07,0.2994,0.2812,0.2993,0.2813,-6.0,-6.282,0.282,2,stop_loss,False
2021-09-18,2021-09-20,0.2402,0.2256,0.2401,0.2257,-6.0,-6.282,0.282,2,stop_loss,False
2021-10-02,2021-10-05,0.2228,0.2671,0.2227,0.2672,20.0,19.641,0.359,3,take_profit,True
2021-10-30,2021-10-31,0.2883,0.2708,0.2882,0.2709,-6.0,-6.282,0.282,1,stop_loss,False
2021-11-09,2021-11-10,0.2821,0.2649,0.282,0.2651,-6.0,-6.282,0.282,1,stop_loss,False
2021-11-24,2021-11-26,0.2268,0.213,0.2267,0.2131,-6.0,-6.282,0.282,2,stop_loss,False
2021-12-07,2021-12-10,0.1776,0.1668,0.1775,0.1668,-6.0,-6.282,0.282,3,stop_loss,False
2021-12-15,2021-12-16,0.191,0.1794,0.1909,0.1794,-6.0,-6.282,0.282,1,stop_loss,False
2022-01-14,2022-01-16,0.1717,0.1844,0.1716,0.1845,7.517,7.195,0.322,2,signal_exit,True
2022-04-15,2022-04-17,0.1443,0.1434,0.1442,0.1435,-0.485,-0.784,0.298,2,signal_exit,False
2022-06-19,2022-06-21,0.0529,0.0634,0.0529,0.0635,20.0,19.641,0.359,2,take_profit,True
2022-07-19,2022-07-22,0.0676,0.0699,0.0675,0.07,3.583,3.272,0.31,3,signal_exit,True
2022-09-10,2022-09-13,0.0639,0.06,0.0639,0.06,-6.0,-6.282,0.282,3,stop_loss,False
2022-09-24,2022-09-25,0.0634,0.0631,0.0634,0.0631,-0.426,-0.724,0.298,1,signal_exit,False
2022-11-23,2022-11-26,0.0788,0.0945,0.0788,0.0945,20.0,19.641,0.359,3,take_profit,True
2022-12-17,2022-12-19,0.0757,0.0711,0.0757,0.0711,-6.0,-6.282,0.282,2,stop_loss,False
2022-12-23,2022-12-28,0.0769,0.0722,0.0769,0.0723,-6.0,-6.282,0.282,5,stop_loss,False
2023-01-10,2023-01-14,0.0757,0.0907,0.0756,0.0908,20.0,19.641,0.359,4,take_profit,True
2023-01-23,2023-01-24,0.0883,0.0829,0.0882,0.0829,-6.0,-6.282,0.282,1,stop_loss,False
2023-01-30,2023-02-09,0.0901,0.0846,0.0901,0.0847,-6.0,-6.282,0.282,10,stop_loss,False
2023-02-10,2023-03-03,0.0815,0.0765,0.0814,0.0766,-6.0,-6.282,0.282,21,stop_loss,False
2023-03-12,2023-03-20,0.0661,0.0745,0.066,0.0745,12.826,12.488,0.338,8,signal_exit,True
2023-04-02,2023-04-03,0.0819,0.0769,0.0818,0.0769,-6.0,-6.282,0.282,1,stop_loss,False
2023-04-14,2023-04-21,0.0873,0.082,0.0873,0.0821,-6.0,-6.282,0.282,7,stop_loss,False
2023-07-27,2023-08-02,0.078,0.0781,0.0779,0.0781,0.269,-0.031,0.3,6,signal_exit,False
2023-08-13,2023-08-15,0.0767,0.0721,0.0767,0.0721,-6.0,-6.282,0.282,2,stop_loss,False
2023-11-06,2023-11-17,0.0711,0.0853,0.0711,0.0853,20.0,19.641,0.359,11,take_profit,True
2023-11-25,2023-12-05,0.0782,0.0938,0.0782,0.0938,20.0,19.641,0.359,10,take_profit,True
2023-12-22,2023-12-26,0.095,0.0893,0.095,0.0893,-6.0,-6.282,0.282,4,stop_loss,False
2024-01-03,2024-01-04,0.0911,0.0856,0.0911,0.0856,-6.0,-6.282,0.282,1,stop_loss,False
2024-01-08,2024-01-30,0.0783,0.0813,0.0782,0.0814,4.027,3.715,0.312,22,signal_exit,True
2024-02-08,2024-02-27,0.0802,0.0961,0.0801,0.0962,20.0,19.641,0.359,19,take_profit,True
2024-03-21,2024-03-25,0.1522,0.1824,0.1521,0.1825,20.0,19.641,0.359,4,take_profit,True
2024-04-03,2024-04-05,0.1826,0.1715,0.1825,0.1715,-6.0,-6.282,0.282,2,stop_loss,False
2024-04-07,2024-04-12,0.1859,0.1745,0.1858,0.1746,-6.0,-6.282,0.282,5,stop_loss,False
2024-04-14,2024-04-18,0.1526,0.1433,0.1525,0.1434,-6.0,-6.282,0.282,4,stop_loss,False
2024-04-19,2024-04-27,0.1523,0.143,0.1522,0.1431,-6.0,-6.282,0.282,8,stop_loss,False
2024-05-03,2024-05-04,0.132,0.1582,0.1319,0.1583,20.0,19.641,0.359,1,take_profit,True
2024-05-05,2024-05-07,0.1602,0.1504,0.1601,0.1505,-6.0,-6.282,0.282,2,stop_loss,False
2024-05-10,2024-05-11,0.1523,0.143,0.1522,0.1431,-6.0,-6.282,0.282,1,stop_loss,False
2024-05-14,2024-05-31,0.1487,0.1594,0.1486,0.1595,7.28,6.958,0.321,17,signal_exit,True
2024-06-05,2024-06-07,0.1614,0.1516,0.1614,0.1517,-6.0,-6.282,0.282,2,stop_loss,False
2024-06-08,2024-06-11,0.1483,0.1392,0.1482,0.1393,-6.0,-6.282,0.282,3,stop_loss,False
2024-06-12,2024-06-17,0.1381,0.1297,0.1381,0.1298,-6.0,-6.282,0.282,5,stop_loss,False
2024-06-25,2024-07-02,0.1191,0.1235,0.119,0.1235,3.79,3.479,0.311,7,signal_exit,True
2024-07-21,2024-07-23,0.1343,0.1377,0.1342,0.1378,2.637,2.33,0.307,2,signal_exit,True
2024-09-10,2024-09-15,0.1038,0.1053,0.1037,0.1054,1.59,1.286,0.304,5,signal_exit,True
2024-10-15,2024-10-18,0.1167,0.14,0.1167,0.14,20.0,19.641,0.359,3,take_profit,True
2024-10-28,2024-10-29,0.1443,0.173,0.1443,0.1731,20.0,19.641,0.359,1,take_profit,True
2024-11-06,2024-11-07,0.1701,0.2039,0.17,0.204,20.0,19.641,0.359,1,take_profit,True
2024-12-07,2024-12-09,0.4349,0.4084,0.4347,0.4086,-6.0,-6.282,0.282,2,stop_loss,False
2024-12-20,2025-01-03,0.3145,0.377,0.3143,0.3772,20.0,19.641,0.359,14,take_profit,True
2025-01-15,2025-01-18,0.3561,0.4269,0.3559,0.4271,20.0,19.641,0.359,3,take_profit,True
2025-02-03,2025-02-06,0.2682,0.2519,0.2681,0.252,-6.0,-6.282,0.282,3,stop_loss,False
2025-02-08,2025-02-24,0.2466,0.2316,0.2465,0.2317,-6.0,-6.282,0.282,16,stop_loss,False
2025-08-09,2025-08-14,0.2305,0.2165,0.2304,0.2166,-6.0,-6.282,0.282,5,stop_loss,False
2025-08-18,2025-08-19,0.2347,0.2204,0.2346,0.2205,-6.0,-6.282,0.282,1,stop_loss,False
2025-08-21,2025-08-22,0.2218,0.2083,0.2217,0.2084,-6.0,-6.282,0.282,1,stop_loss,False
2025-08-23,2025-08-25,0.2407,0.226,0.2405,0.2261,-6.0,-6.282,0.282,2,stop_loss,False
2025-09-08,2025-09-12,0.2289,0.2744,0.2288,0.2745,20.0,19.641,0.359,4,take_profit,True
2025-09-28,2025-10-10,0.2309,0.2168,0.2308,0.2169,-6.0,-6.282,0.282,12,stop_loss,False
2025-10-13,2025-10-14,0.2073,0.1946,0.2072,0.1947,-6.0,-6.282,0.282,1,stop_loss,False
