entry_date,exit_date,entry_price,exit_price,entry_trigger_price,exit_trigger_price,gross_return_pct,return_pct,cost_pct,hold_days,exit_reason,profit
2021-07-05,2021-07-08,15.982,15.0081,15.974,15.0156,-6.0,-6.282,0.282,3,stop_loss,False
2021-07-17,2021-07-20,12.031,11.2978,12.025,11.3035,-6.0,-6.282,0.282,3,stop_loss,False
2021-07-27,2021-07-31,13.931,16.7004,13.924,16.7088,20.0,19.641,0.359,4,take_profit,True
2021-09-14,2021-09-17,34.8574,32.7332,34.84,32.7496,-6.0,-6.282,0.282,3,stop_loss,False
2021-09-24,2021-09-25,33.4367,31.3991,33.42,31.4148,-6.0,-6.282,0.282,1,stop_loss,False
2021-10-02,2021-10-06,31.956,30.0086,31.94,30.0236,-6.0,-6.282,0.282,4,stop_loss,False
2021-11-02,2021-11-05,50.005,53.8031,49.98,53.83,7.703,7.38,0.323,3,signal_exit,True
2021-11-29,2021-12-03,35.7679,33.5882,35.75,33.605,-6.0,-6.282,0.282,4,stop_loss,False
2021-12-11,2021-12-15,26.4532,24.8412,26.44,24.8536,-6.0,-6.282,0.282,4,stop_loss,False
2023-01-24,2023-01-25,6.5633,6.1633,6.56,6.1664,-6.0,-6.282,0.282,1,stop_loss,False
2023-02-03,2023-02-09,6.5463,6.1473,6.543,6.1504,-6.0,-6.282,0.282,6,stop_loss,False
2023-02-16,2023-03-03,6.6153,6.2122,6.612,6.2153,-6.0,-6.282,0.282,15,stop_loss,False
2023-03-15,2023-03-16,6.2231,5.8439,6.22,5.8468,-6.0,-6.282,0.282,1,stop_loss,False
2023-03-17,2023-03-25,6.09,6.019,6.087,6.022,-1.068,-1.364,0.296,8,signal_exit,False
2023-03-29,2023-04-07,6.06,6.2769,6.057,6.28,3.682,3.371,0.311,9,signal_exit,True
2023-04-11,2023-04-21,6.2931,5.9096,6.29,5.9126,-6.0,-6.282,0.282,10,stop_loss,False
2023-04-26,2023-05-01,6.002,5.6362,5.999,5.6391,-6.0,-6.282,0.282,5,stop_loss,False
2023-07-22,2023-07-24,5.4887,5.1543,5.486,5.1568,-6.0,-6.282,0.282,2,stop_loss,False
2023-08-23,2023-08-30,4.4272,4.6757,4.425,4.678,5.718,5.401,0.317,7,signal_exit,True
2023-10-22,2023-10-26,3.911,4.2899,3.909,4.292,9.798,9.469,0.329,4,signal_exit,True
2023-11-25,2023-12-07,5.2446,6.2873,5.242,6.2904,20.0,19.641,0.359,12,take_profit,True
2023-12-22,2023-12-23,8.4262,7.9127,8.422,7.9167,-6.0,-6.282,0.282,1,stop_loss,False
2024-01-10,2024-01-11,7.1316,8.5493,7.128,8.5536,20.0,19.641,0.359,1,take_profit,True
2024-01-23,2024-02-05,6.3452,6.6627,6.342,6.666,5.109,4.794,0.315,13,signal_exit,True
2024-02-07,2024-02-18,6.8094,7.7001,6.806,7.704,13.194,12.855,0.339,11,signal_exit,True
2024-02-25,2024-03-02,7.8229,9.3781,7.819,9.3828,20.0,19.641,0.359,6,take_profit,True
2024-03-15,2024-03-16,11.5628,10.8581,11.557,10.8636,-6.0,-6.282,0.282,1,stop_loss,False
2024-03-24,2024-04-02,8.9715,8.4248,8.967,8.429,-6.0,-6.282,0.282,9,stop_loss,False
2024-04-07,2024-04-12,8.4992,7.9813,8.495,7.9853,-6.0,-6.282,0.282,5,stop_loss,False
2024-04-13,2024-04-14,7.2436,6.8022,7.24,6.8056,-6.0,-6.282,0.282,1,stop_loss,False
2024-05-04,2024-05-06,7.2476,7.2993,7.244,7.303,0.814,0.512,0.302,2,signal_exit,True
2024-05-22,2024-05-23,7.6128,7.1489,7.609,7.1525,-6.0,-6.282,0.282,1,stop_loss,False
2024-08-07,2024-08-14,4.5113,4.5437,4.509,4.546,0.821,0.519,0.302,7,signal_exit,True
2024-10-15,2024-10-17,4.3812,4.3108,4.379,4.313,-1.507,-1.802,0.295,2,signal_exit,False
2024-11-08,2024-11-10,4.1661,4.9943,4.164,4.9968,20.0,19.641,0.359,2,take_profit,True
2024-11-17,2024-11-18,5.7889,5.4361,5.786,5.4388,-6.0,-6.282,0.282,1,stop_loss,False
2024-11-19,2024-11-20,6.011,5.6447,6.008,5.6475,-6.0,-6.282,0.282,1,stop_loss,False
2024-12-05,2024-12-06,10.5183,10.3648,10.513,10.37,-1.36,-1.656,0.295,1,signal_exit,False
2024-12-20,2025-01-01,6.9455,6.5222,6.942,6.5255,-6.0,-6.282,0.282,12,stop_loss,False
2025-01-04,2025-01-07,7.7569,7.2842,7.753,7.2878,-6.0,-6.282,0.282,3,stop_loss,False
2025-01-16,2025-01-19,7.1696,6.7327,7.166,6.736,-6.0,-6.282,0.282,3,stop_loss,False
2025-08-09,2025-08-11,3.982,4.045,3.98,4.047,1.683,1.379,0.305,2,signal_exit,True
2025-08-14,2025-08-15,4.2791,4.0184,4.277,4.0204,-6.0,-6.282,0.282,1,stop_loss,False
2025-08-23,2025-08-25,4.1831,3.9282,4.181,3.9301,-6.0,-6.282,0.282,2,stop_loss,False
2025-09-10,2025-09-22,4.1411,3.8887,4.139,3.8907,-6.0,-6.282,0.282,12,stop_loss,False
2025-10-03,2025-10-09,4.3092,4.0466,4.307,4.0486,-6.0,-6.282,0.282,6,stop_loss,False
2026-02-03,2026-02-04,1.5438,1.4497,1.543,1.4504,-6.0,-6.282,0.282,1,stop_loss,False
