entry_date,exit_date,entry_price,exit_price,entry_trigger_price,exit_trigger_price,gross_return_pct,return_pct,cost_pct,hold_days,exit_reason,profit
2021-09-01,2021-09-07,3430.904595,3924.706665,3429.19,3926.67,14.507,14.164,0.343,6,signal_exit,True
2021-09-16,2021-09-17,3615.356775,3395.0386315,3613.55,3396.737,-6.0,-6.282,0.282,1,stop_loss,False
2021-09-22,2021-10-01,2768.10336,3318.403968,2766.72,3320.064,20.0,19.641,0.359,9,take_profit,True
2021-10-02,2021-10-09,3311.564955,3561.348435,3309.91,3563.13,7.65,7.328,0.322,7,signal_exit,True
2021-10-29,2021-11-08,4288.153005,4610.283705,4286.01,4612.59,7.62,7.297,0.322,10,signal_exit,True
2021-11-26,2021-11-26,4526.74224,4250.8846944,4524.48,4253.0112,-6.0,-6.282,0.282,0,stop_loss,False
2021-11-30,2021-12-03,4446.76227,4175.7786662,4444.54,4177.8676,-6.0,-6.282,0.282,3,stop_loss,False
2021-12-07,2021-12-09,4349.743785,4084.6724421,4347.57,4086.7158,-6.0,-6.282,0.282,2,stop_loss,False
2022-01-27,2022-02-04,2464.2315,2954.1222,2463.0,2955.6,20.0,19.641,0.359,8,take_profit,True
2022-05-14,2022-05-26,2010.694845,1888.1640457,2009.69,1889.1086,-6.0,-6.282,0.282,12,stop_loss,False
2022-06-20,2022-06-20,1129.094265,1060.2877909,1128.53,1060.8182,-6.0,-6.282,0.282,0,stop_loss,False
2023-01-30,2023-01-30,1645.552365,1545.2731769,1644.73,1546.0462,-6.0,-6.282,0.282,0,stop_loss,False
2023-02-02,2023-02-09,1642.490835,1542.3982151,1641.67,1543.1698,-6.0,-6.282,0.282,7,stop_loss,False
2023-02-15,2023-03-09,1556.47785,1461.626821,1555.7,1462.358,-6.0,-6.282,0.282,22,stop_loss,False
2023-03-10,2023-03-14,1438.03866,1723.921608,1437.32,1724.784,20.0,19.641,0.359,4,take_profit,True
2023-03-22,2023-03-27,1802.130615,1692.3096219,1801.23,1693.1562,-6.0,-6.282,0.282,5,stop_loss,False
2023-03-30,2023-04-19,1793.95653,2102.458245,1793.06,2103.51,17.314,16.963,0.351,20,signal_exit,True
2023-04-20,2023-04-24,1934.70687,1816.8067422,1933.74,1817.7156,-6.0,-6.282,0.282,4,stop_loss,False
2023-04-26,2023-05-12,1867.03305,1753.256933,1866.1,1754.134,-6.0,-6.282,0.282,16,stop_loss,False
2023-05-15,2023-06-08,1800.0996,1831.20394,1799.2,1832.12,1.83,1.525,0.305,24,signal_exit,True
2023-06-17,2023-07-08,1718.768955,1869.98454,1717.91,1870.92,8.907,8.581,0.326,21,signal_exit,True
2023-07-14,2023-07-17,2005.492245,1883.2784897,2004.49,1884.2206,-6.0,-6.282,0.282,3,stop_loss,False
