entry_date,exit_date,entry_price,exit_price,entry_trigger_price,exit_trigger_price,gross_return_pct,return_pct,cost_pct,hold_days,exit_reason,profit
2021-09-01,2021-09-05,26.7133,32.024,26.7,32.04,20.0,19.641,0.359,4,take_profit,True
2021-09-13,2021-09-14,29.4347,27.641,29.42,27.6548,-6.0,-6.282,0.282,1,stop_loss,False
2021-09-15,2021-09-17,30.7954,28.9187,30.78,28.9332,-6.0,-6.282,0.282,2,stop_loss,False
2021-10-02,2021-10-11,26.3332,24.7284,26.32,24.7408,-6.0,-6.282,0.282,9,stop_loss,False
2021-10-15,2021-10-18,26.7234,26.5267,26.71,26.54,-0.636,-0.934,0.298,3,signal_exit,False
2021-11-06,2021-11-15,32.8764,33.7331,32.86,33.75,2.708,2.401,0.308,9,signal_exit,True
2021-11-26,2021-11-27,26.4232,24.813,26.41,24.8254,-6.0,-6.282,0.282,1,stop_loss,False
2021-11-28,2021-12-03,24.102,22.6333,24.09,22.6446,-6.0,-6.282,0.282,5,stop_loss,False
2021-12-08,2021-12-10,21.0905,19.8053,21.08,19.8152,-6.0,-6.282,0.282,2,stop_loss,False
2021-12-23,2021-12-27,19.93,23.892,19.92,23.904,20.0,19.641,0.359,4,take_profit,True
2022-01-26,2022-01-27,15.5077,14.5627,15.5,14.57,-6.0,-6.282,0.282,1,stop_loss,False
2022-05-03,2022-05-06,11.1756,10.4946,11.17,10.4998,-6.0,-6.282,0.282,3,stop_loss,False
2022-05-14,2022-05-19,7.1436,6.7082,7.14,6.7116,-6.0,-6.282,0.282,5,stop_loss,False
2022-10-27,2022-11-01,7.1616,7.8501,7.158,7.854,9.723,9.395,0.329,5,signal_exit,True
2022-11-08,2022-11-09,8.9605,8.4144,8.956,8.4186,-6.0,-6.282,0.282,1,stop_loss,False
2022-11-29,2022-12-06,7.1976,7.2714,7.194,7.275,1.126,0.823,0.303,7,signal_exit,True
2023-01-27,2023-02-01,7.1736,6.7364,7.17,6.7398,-6.0,-6.282,0.282,5,stop_loss,False
2023-02-02,2023-02-05,7.2176,7.2364,7.214,7.24,0.36,0.06,0.301,3,signal_exit,True
2023-02-08,2023-02-09,7.2026,7.1334,7.199,7.137,-0.861,-1.158,0.297,1,signal_exit,False
2023-02-16,2023-03-03,7.2836,6.8398,7.28,6.8432,-6.0,-6.282,0.282,15,stop_loss,False
2023-03-12,2023-03-16,6.1641,6.5427,6.161,6.546,6.249,5.931,0.318,4,signal_exit,True
2023-03-18,2023-03-27,7.2096,6.7703,7.206,6.7736,-6.0,-6.282,0.282,9,stop_loss,False
2023-03-30,2023-04-23,7.3857,6.9356,7.382,6.9391,-6.0,-6.282,0.282,24,stop_loss,False
2023-04-28,2023-05-01,7.1736,7.0215,7.17,7.025,-2.022,-2.316,0.293,3,signal_exit,False
2023-05-03,2023-05-06,6.9905,7.2224,6.987,7.226,3.421,3.111,0.31,3,signal_exit,True
2023-06-15,2023-06-25,5.2526,6.2969,5.25,6.3,20.0,19.641,0.359,10,take_profit,True
2023-07-14,2023-07-16,7.1286,6.6942,7.125,6.6975,-6.0,-6.282,0.282,2,stop_loss,False
2023-07-18,2023-08-16,7.1896,6.7515,7.186,6.7548,-6.0,-6.282,0.282,29,stop_loss,False
2023-08-23,2023-08-31,6.1191,5.7462,6.116,5.749,-6.0,-6.282,0.282,8,stop_loss,False
2023-09-20,2023-09-21,6.8494,6.9035,6.846,6.907,0.891,0.589,0.302,1,signal_exit,True
2023-09-29,2023-10-04,7.8139,7.3377,7.81,7.3414,-6.0,-6.282,0.282,5,stop_loss,False
2023-10-21,2023-10-22,7.5738,9.0795,7.57,9.084,20.0,19.641,0.359,1,take_profit,True
2023-11-20,2023-11-21,14.9185,14.0093,14.911,14.0163,-6.0,-6.282,0.282,1,stop_loss,False
2023-11-23,2023-11-30,14.2201,14.5067,14.213,14.514,2.118,1.812,0.306,7,signal_exit,True
2023-12-02,2023-12-11,14.9945,14.0807,14.987,14.0878,-6.0,-6.282,0.282,9,stop_loss,False
