entry_date,exit_date,entry_price,exit_price,entry_trigger_price,exit_trigger_price,gross_return_pct,return_pct,cost_pct,hold_days,exit_reason,profit
2021-09-02,2021-09-03,180.9905,216.9715,180.9,217.08,20.0,19.641,0.359,1,take_profit,True
2021-09-16,2021-09-17,189.1945,177.6651,189.1,177.754,-6.0,-6.282,0.282,1,stop_loss,False
2021-10-03,2021-10-08,168.9845,178.5107,168.9,178.6,5.743,5.426,0.317,5,signal_exit,True
2021-11-02,2021-11-09,197.6988,237.0014,197.6,237.12,20.0,19.641,0.359,7,take_profit,True
2021-12-05,2021-12-06,162.7813,152.8615,162.7,152.938,-6.0,-6.282,0.282,1,stop_loss,False
2022-01-15,2022-01-19,144.7723,135.95,144.7,136.018,-6.0,-6.282,0.282,4,stop_loss,False
2022-05-05,2022-05-06,106.3531,99.872,106.3,99.922,-6.0,-6.282,0.282,1,stop_loss,False
2022-05-14,2022-05-26,67.8339,63.7001,67.8,63.732,-6.0,-6.282,0.282,12,stop_loss,False
2022-09-02,2022-09-06,57.6188,54.1075,57.59,54.1346,-6.0,-6.282,0.282,4,stop_loss,False
2022-11-11,2022-11-13,60.5903,56.8979,60.56,56.9264,-6.0,-6.282,0.282,2,stop_loss,False
2022-11-18,2022-11-23,62.6213,75.0704,62.59,75.108,20.0,19.641,0.359,5,take_profit,True
2022-12-06,2022-12-08,80.2301,75.3409,80.19,75.3786,-6.0,-6.282,0.282,2,stop_loss,False
2022-12-14,2022-12-15,77.4387,72.7196,77.4,72.756,-6.0,-6.282,0.282,1,stop_loss,False
2022-12-17,2022-12-19,66.2731,62.2345,66.24,62.2656,-6.0,-6.282,0.282,2,stop_loss,False
2022-12-20,2023-01-02,63.3917,75.994,63.36,76.032,20.0,19.641,0.359,13,take_profit,True
2023-01-07,2023-01-14,75.948,91.0465,75.91,91.092,20.0,19.641,0.359,7,take_profit,True
2023-01-21,2023-03-07,90.3251,84.8208,90.28,84.8632,-6.0,-6.282,0.282,45,stop_loss,False
2023-03-08,2023-03-09,86.3431,81.0814,86.3,81.122,-6.0,-6.282,0.282,1,stop_loss,False
2023-03-13,2023-03-23,76.2881,91.4543,76.25,91.5,20.0,19.641,0.359,10,take_profit,True
2023-04-11,2023-04-19,93.8269,88.1091,93.78,88.1532,-6.0,-6.282,0.282,8,stop_loss,False
2023-04-22,2023-05-08,85.3627,80.1607,85.32,80.2008,-6.0,-6.282,0.282,16,stop_loss,False
2023-05-16,2023-06-10,86.9535,81.6546,86.91,81.6954,-6.0,-6.282,0.282,25,stop_loss,False
2023-06-22,2023-06-28,85.0825,88.016,85.04,88.06,3.551,3.241,0.31,6,signal_exit,True
2023-07-07,2023-07-17,95.2976,89.4902,95.25,89.535,-6.0,-6.282,0.282,10,stop_loss,False
2023-07-30,2023-08-01,94.3772,88.6259,94.33,88.6702,-6.0,-6.282,0.282,2,stop_loss,False
2023-08-22,2023-08-31,67.0335,67.6162,67.0,67.65,0.97,0.668,0.302,9,signal_exit,True
2023-12-09,2023-12-11,78.5292,73.7437,78.49,73.7806,-6.0,-6.282,0.282,2,stop_loss,False
2023-12-23,2023-12-24,73.6168,72.4038,73.58,72.44,-1.549,-1.844,0.295,1,signal_exit,False
2023-12-27,2024-01-03,73.2766,68.8112,73.24,68.8456,-6.0,-6.282,0.282,7,stop_loss,False
2024-01-12,2024-01-14,71.9159,71.944,71.88,71.98,0.139,-0.161,0.3,2,signal_exit,False
2024-02-09,2024-02-21,70.5753,69.6152,70.54,69.65,-1.262,-1.557,0.296,12,signal_exit,False
2024-02-25,2024-02-29,70.4452,84.4498,70.41,84.492,20.0,19.641,0.359,4,take_profit,True
2024-03-25,2024-03-29,89.7048,107.5382,89.66,107.592,20.0,19.641,0.359,4,take_profit,True
2024-04-03,2024-04-04,106.8234,100.3136,106.77,100.3638,-6.0,-6.282,0.282,1,stop_loss,False
2024-04-09,2024-04-10,103.3216,97.0253,103.27,97.0738,-6.0,-6.282,0.282,1,stop_loss,False
2024-04-13,2024-04-14,86.143,80.8935,86.1,80.934,-6.0,-6.282,0.282,1,stop_loss,False
2024-04-17,2024-04-27,79.98,88.0559,79.94,88.1,10.208,9.878,0.33,10,signal_exit,True
2024-05-10,2024-05-28,83.1115,85.1974,83.07,85.24,2.612,2.305,0.307,18,signal_exit,True
2024-06-06,2024-06-07,85.4827,80.2734,85.44,80.3136,-6.0,-6.282,0.282,1,stop_loss,False
2024-06-14,2024-06-17,79.1896,78.9505,79.15,78.99,-0.202,-0.501,0.299,3,signal_exit,False
2024-08-31,2024-09-01,64.9625,64.9275,64.93,64.96,0.046,-0.253,0.3,1,signal_exit,False
2024-10-15,2024-10-24,66.8734,70.015,66.84,70.05,4.803,4.489,0.314,9,signal_exit,True
2024-10-30,2024-10-31,74.027,69.5158,73.99,69.5506,-6.0,-6.282,0.282,1,stop_loss,False
2024-11-07,2024-11-15,71.0355,85.1574,71.0,85.2,20.0,19.641,0.359,8,take_profit,True
2024-11-23,2024-12-01,92.2461,110.5847,92.2,110.64,20.0,19.641,0.359,8,take_profit,True
2024-12-14,2024-12-15,124.5823,116.9903,124.52,117.0488,-6.0,-6.282,0.282,1,stop_loss,False
2024-12-16,2024-12-18,121.1906,113.8053,121.13,113.8622,-6.0,-6.282,0.282,2,stop_loss,False
2024-12-20,2025-01-09,99.4097,101.3793,99.36,101.43,2.083,1.778,0.306,20,signal_exit,True
2025-01-16,2025-01-17,117.0185,140.2818,116.96,140.352,20.0,19.641,0.359,1,take_profit,True
2025-01-21,2025-01-23,118.6393,111.4095,118.58,111.4652,-6.0,-6.282,0.282,2,stop_loss,False
2025-01-26,2025-01-27,123.992,116.436,123.93,116.4942,-6.0,-6.282,0.282,1,stop_loss,False
2025-01-30,2025-02-02,115.9579,108.8915,115.9,108.946,-6.0,-6.282,0.282,3,stop_loss,False
2025-02-08,2025-02-11,103.1616,123.6701,103.11,123.732,20.0,19.641,0.359,3,take_profit,True
2025-02-19,2025-02-24,129.8149,121.904,129.75,121.965,-6.0,-6.282,0.282,5,stop_loss,False
2025-02-27,2025-02-28,124.7423,117.1406,124.68,117.1992,-6.0,-6.282,0.282,1,stop_loss,False
2025-03-03,2025-03-04,127.9539,120.1565,127.89,120.2166,-6.0,-6.282,0.282,1,stop_loss,False
2025-03-08,2025-03-09,103.7619,97.4387,103.71,97.4874,-6.0,-6.282,0.282,1,stop_loss,False
2025-05-10,2025-05-16,100.5703,99.2104,100.52,99.26,-1.253,-1.549,0.296,6,signal_exit,False
2025-06-11,2025-06-12,93.3767,87.6863,93.33,87.7302,-6.0,-6.282,0.282,1,stop_loss,False
2025-07-19,2025-07-23,101.7709,122.003,101.72,122.064,20.0,19.641,0.359,4,take_profit,True
2025-08-04,2025-08-13,110.4452,132.4018,110.39,132.468,20.0,19.641,0.359,9,take_profit,True
2025-08-23,2025-08-25,123.0115,115.5152,122.95,115.573,-6.0,-6.282,0.282,2,stop_loss,False
2025-08-26,2025-09-19,109.1846,118.1309,109.13,118.19,8.302,7.978,0.324,24,signal_exit,True
2025-10-02,2025-10-10,115.1676,108.1493,115.11,108.2034,-6.0,-6.282,0.282,8,stop_loss,False
2025-11-02,2025-11-03,101.4407,95.2589,101.39,95.3066,-6.0,-6.282,0.282,1,stop_loss,False
2025-11-08,2025-11-12,101.9309,95.7193,101.88,95.7672,-6.0,-6.282,0.282,4,stop_loss,False
2026-05-07,2026-05-16,56.7684,57.4713,56.74,57.5,1.339,1.036,0.304,9,signal_exit,True
2026-05-29,2026-06-02,51.6958,48.5455,51.67,48.5698,-6.0,-6.282,0.282,4,stop_loss,False
2026-06-08,2026-06-18,42.8414,44.9075,42.82,44.93,4.928,4.613,0.314,10,signal_exit,True
