entry_date,exit_date,entry_price,exit_price,entry_trigger_price,exit_trigger_price,gross_return_pct,return_pct,cost_pct,hold_days,exit_reason,profit
2021-07-22,2021-07-26,0.88930443,1.06609868,0.88886,1.066632,20.0,19.641,0.359,4,take_profit,True
2021-09-02,2021-09-05,1.470735,1.763118,1.47,1.764,20.0,19.641,0.359,3,take_profit,True
2021-09-06,2021-09-06,1.68084,1.5784104,1.68,1.5792,-6.0,-6.282,0.282,0,stop_loss,False
2021-09-18,2021-09-18,1.4237115,1.33695119,1.423,1.33762,-6.0,-6.282,0.282,0,stop_loss,False
2021-10-02,2021-10-12,1.266633,1.18944498,1.266,1.19004,-6.0,-6.282,0.282,10,stop_loss,False
2021-11-24,2021-11-26,1.750875,1.6441775,1.75,1.645,-6.0,-6.282,0.282,2,stop_loss,False
2021-11-30,2021-11-30,1.8179085,1.70712601,1.817,1.70798,-6.0,-6.282,0.282,0,stop_loss,False
2021-12-07,2021-12-09,2.2781385,2.13930981,2.277,2.14038,-6.0,-6.282,0.282,2,stop_loss,False
2021-12-16,2021-12-17,2.131065,2.0011989,2.13,2.0022,-6.0,-6.282,0.282,1,stop_loss,False
2022-01-11,2022-01-21,2.073036,1.94670616,2.072,1.94768,-6.0,-6.282,0.282,10,stop_loss,False
2022-01-22,2022-01-22,1.698849,1.59532194,1.698,1.59612,-6.0,-6.282,0.282,0,stop_loss,False
2022-02-06,2022-02-07,1.7118555,2.0521734,1.711,2.0532,20.0,19.641,0.359,1,take_profit,True
2022-02-09,2022-02-11,1.942971,1.82456726,1.942,1.82548,-6.0,-6.282,0.282,2,stop_loss,False
2022-02-16,2022-02-16,1.8719355,1.75786063,1.871,1.75874,-6.0,-6.282,0.282,0,stop_loss,False
2022-05-14,2022-05-14,0.6673335,0.62666651,0.667,0.62698,-6.0,-6.282,0.282,0,stop_loss,False
2022-07-28,2022-07-31,0.8970483,0.9305345,0.8966,0.931,3.837,3.526,0.311,3,signal_exit,True
2022-09-02,2022-09-06,0.8848422,0.881559,0.8844,0.882,-0.271,-0.57,0.299,4,signal_exit,False
2022-10-18,2022-10-21,0.84872415,0.8089953,0.8483,0.8094,-4.586,-4.871,0.286,3,signal_exit,False
2022-10-22,2022-11-04,0.83251605,0.99802074,0.8321,0.99852,20.0,19.641,0.359,13,take_profit,True
2022-11-11,2022-11-11,1.12506225,1.05650148,1.1245,1.05703,-6.0,-6.282,0.282,0,stop_loss,False
2022-11-29,2022-12-16,0.8216106,0.87826065,0.8212,0.8787,7.002,6.681,0.321,17,signal_exit,True
2022-12-21,2022-12-29,0.8016006,0.78230865,0.8012,0.7827,-2.309,-2.602,0.293,8,signal_exit,False
2023-01-10,2023-01-14,0.8430213,1.01061444,0.8426,1.01112,20.0,19.641,0.359,4,take_profit,True
2023-01-21,2023-01-24,1.02641295,0.96386383,1.0259,0.964346,-6.0,-6.282,0.282,3,stop_loss,False
2023-02-02,2023-02-16,1.19429685,1.43172378,1.1937,1.43244,20.0,19.641,0.359,14,take_profit,True
