entry_date,exit_date,entry_price,exit_price,entry_trigger_price,exit_trigger_price,gross_return_pct,return_pct,cost_pct,hold_days,exit_reason,profit
2021-10-04,2021-10-04,8.038017,7.54818402,8.034,7.55196,-6.0,-6.282,0.282,0,stop_loss,False
2021-10-06,2021-10-06,7.989993,7.50308658,7.986,7.50684,-6.0,-6.282,0.282,0,stop_loss,False
2021-10-15,2021-10-21,8.0490225,9.649173,8.045,9.654,20.0,19.641,0.359,6,take_profit,True
2021-10-23,2021-10-25,9.108552,10.9193376,9.104,10.9248,20.0,19.641,0.359,2,take_profit,True
2021-11-09,2021-11-10,10.7223585,10.06894301,10.717,10.07398,-6.0,-6.282,0.282,1,stop_loss,False
2021-11-12,2021-11-12,12.044019,11.31006214,12.038,11.31572,-6.0,-6.282,0.282,0,stop_loss,False
2021-11-15,2021-11-15,11.875935,11.1522211,11.87,11.1578,-6.0,-6.282,0.282,0,stop_loss,False
2021-12-09,2021-12-11,9.34467,11.202396,9.34,11.208,20.0,19.641,0.359,2,take_profit,True
2021-12-20,2021-12-20,9.020508,8.47080248,9.016,8.47504,-6.0,-6.282,0.282,0,stop_loss,False
2021-12-23,2021-12-23,10.8304125,12.983505,10.825,12.99,20.0,19.641,0.359,0,take_profit,True
2022-01-11,2022-01-12,15.481737,18.5595156,15.474,18.5688,20.0,19.641,0.359,1,take_profit,True
2022-01-13,2022-01-19,17.582787,16.51130022,17.574,16.51956,-6.0,-6.282,0.282,6,stop_loss,False
2022-01-23,2022-01-24,11.413704,10.71815824,11.408,10.72352,-6.0,-6.282,0.282,1,stop_loss,False
2022-01-26,2022-01-26,12.1370655,11.39743843,12.131,11.40314,-6.0,-6.282,0.282,0,stop_loss,False
2022-03-02,2022-03-02,11.8149045,11.09490977,11.809,11.10046,-6.0,-6.282,0.282,0,stop_loss,False
2022-03-10,2022-03-10,11.6047995,10.89760847,11.599,10.90306,-6.0,-6.282,0.282,0,stop_loss,False
2022-03-17,2022-03-24,10.821408,12.9727104,10.816,12.9792,20.0,19.641,0.359,7,take_profit,True
2022-03-27,2022-04-02,12.722358,15.2515704,12.716,15.2592,20.0,19.641,0.359,6,take_profit,True
2022-04-08,2022-04-09,17.4477195,16.38446367,17.439,16.39266,-6.0,-6.282,0.282,1,stop_loss,False
2022-04-19,2022-04-21,16.1770845,15.19126057,16.169,15.19886,-6.0,-6.282,0.282,2,stop_loss,False
2022-05-04,2022-05-05,12.0049995,11.27342047,11.999,11.27906,-6.0,-6.282,0.282,1,stop_loss,False
2022-11-15,2022-11-17,1.9719855,1.85181363,1.971,1.85274,-6.0,-6.282,0.282,2,stop_loss,False
2022-11-22,2022-12-04,1.56078,1.6681655,1.56,1.669,6.987,6.667,0.32,12,signal_exit,True
2023-03-15,2023-03-15,2.1160575,1.98710595,2.115,1.9881,-6.0,-6.282,0.282,0,stop_loss,False
2023-04-15,2023-04-19,2.2221105,2.08669613,2.221,2.08774,-6.0,-6.282,0.282,4,stop_loss,False
2023-06-14,2023-06-24,1.2006,1.43928,1.2,1.44,20.0,19.641,0.359,10,take_profit,True
2023-08-22,2023-09-01,1.1315655,1.1544225,1.131,1.155,2.122,1.816,0.306,10,signal_exit,True
2023-11-06,2023-11-07,1.636818,1.53707108,1.636,1.53784,-6.0,-6.282,0.282,1,stop_loss,False
2023-11-12,2023-11-14,1.598799,1.50136894,1.598,1.50212,-6.0,-6.282,0.282,2,stop_loss,False
2023-11-16,2023-11-19,1.70085,2.03898,1.7,2.04,20.0,19.641,0.359,3,take_profit,True
2023-12-01,2023-12-05,1.8799395,2.2536726,1.879,2.2548,20.0,19.641,0.359,4,take_profit,True
2023-12-17,2023-12-18,2.3901945,2.24453717,2.389,2.24566,-6.0,-6.282,0.282,1,stop_loss,False
2023-12-20,2023-12-20,2.4322155,2.9157414,2.431,2.9172,20.0,19.641,0.359,0,take_profit,True
2024-01-22,2024-01-22,2.923461,2.74530666,2.922,2.74668,-6.0,-6.282,0.282,0,stop_loss,False
2024-01-31,2024-01-31,3.0125055,2.82892483,3.011,2.83034,-6.0,-6.282,0.282,0,stop_loss,False
2024-02-08,2024-02-13,2.871435,3.442278,2.87,3.444,20.0,19.641,0.359,5,take_profit,True
2024-02-19,2024-02-20,3.5227605,3.30808513,3.521,3.30974,-6.0,-6.282,0.282,1,stop_loss,False
2024-02-26,2024-03-02,3.705852,4.4425776,3.704,4.4448,20.0,19.641,0.359,5,take_profit,True
2024-03-18,2024-03-18,8.2471215,7.74454579,8.243,7.74842,-6.0,-6.282,0.282,0,stop_loss,False
2024-03-25,2024-04-01,7.0045005,6.57764953,7.001,6.58094,-6.0,-6.282,0.282,7,stop_loss,False
2024-04-06,2024-04-10,7.2266115,6.78622519,7.223,6.78962,-6.0,-6.282,0.282,4,stop_loss,False
2024-04-13,2024-04-13,5.7898935,5.43706011,5.787,5.43978,-6.0,-6.282,0.282,0,stop_loss,False
2024-04-16,2024-04-16,5.224611,4.90622566,5.222,4.90868,-6.0,-6.282,0.282,0,stop_loss,False
2024-04-22,2024-04-30,6.4502235,6.05714991,6.447,6.06018,-6.0,-6.282,0.282,8,stop_loss,False
2024-05-04,2024-05-16,6.877437,8.2446756,6.874,8.2488,20.0,19.641,0.359,12,take_profit,True
2024-05-21,2024-05-21,8.2951455,7.78964323,8.291,7.79354,-6.0,-6.282,0.282,0,stop_loss,False
2024-05-24,2024-05-30,7.697847,7.22874382,7.694,7.23236,-6.0,-6.282,0.282,6,stop_loss,False
2024-06-08,2024-06-10,6.879438,6.46020828,6.876,6.46344,-6.0,-6.282,0.282,2,stop_loss,False
2024-06-12,2024-06-14,6.067032,5.69730992,6.064,5.70016,-6.0,-6.282,0.282,2,stop_loss,False
2024-06-15,2024-06-17,5.5917945,5.25103317,5.589,5.25366,-6.0,-6.282,0.282,2,stop_loss,False
