entry_date,exit_date,entry_price,exit_price,entry_trigger_price,exit_trigger_price,gross_return_pct,return_pct,cost_pct,hold_days,exit_reason,profit
2024-09-19,2024-10-01,0.3903,0.3665,0.3901,0.3667,-6.0,-6.282,0.282,12,stop_loss,False
2024-10-03,2024-10-23,0.3735,0.3507,0.3733,0.3509,-6.0,-6.282,0.282,20,stop_loss,False
2024-10-26,2024-11-03,0.3223,0.3026,0.3221,0.3028,-6.0,-6.282,0.282,8,stop_loss,False
2024-11-04,2024-11-08,0.3009,0.3607,0.3007,0.3608,20.0,19.641,0.359,4,take_profit,True
2025-01-04,2025-01-07,0.5195,0.4878,0.5192,0.488,-6.0,-6.282,0.282,3,stop_loss,False
2025-01-16,2025-01-19,0.4876,0.4579,0.4874,0.4582,-6.0,-6.282,0.282,3,stop_loss,False
2025-02-08,2025-02-23,0.2989,0.2971,0.2988,0.2972,-0.535,-0.833,0.298,15,signal_exit,False
2025-03-01,2025-03-03,0.2719,0.2554,0.2718,0.2555,-6.0,-6.282,0.282,2,stop_loss,False
2025-03-12,2025-03-29,0.2148,0.2017,0.2147,0.2018,-6.0,-6.282,0.282,17,stop_loss,False
2025-05-22,2025-05-23,0.2421,0.2512,0.242,0.2513,3.843,3.532,0.311,1,signal_exit,True
2025-08-09,2025-08-15,0.2444,0.2295,0.2443,0.2296,-6.0,-6.282,0.282,6,stop_loss,False
2025-08-18,2025-08-19,0.2467,0.2317,0.2466,0.2318,-6.0,-6.282,0.282,1,stop_loss,False
2025-08-23,2025-08-25,0.2539,0.2385,0.2538,0.2386,-6.0,-6.282,0.282,2,stop_loss,False
2025-08-29,2025-09-22,0.2486,0.2335,0.2485,0.2336,-6.0,-6.282,0.282,24,stop_loss,False
2025-09-23,2025-09-25,0.2276,0.2137,0.2275,0.2138,-6.0,-6.282,0.282,2,stop_loss,False
2025-09-29,2025-10-10,0.2285,0.2146,0.2284,0.2147,-6.0,-6.282,0.282,11,stop_loss,False
2026-03-17,2026-03-19,0.102,0.0957,0.1019,0.0958,-6.0,-6.282,0.282,2,stop_loss,False
