entry_date,exit_date,entry_price,exit_price,entry_trigger_price,exit_trigger_price,gross_return_pct,return_pct,cost_pct,hold_days,exit_reason,profit
2021-06-24,2021-06-25,30.8504,28.9704,30.835,28.9849,-6.0,-6.282,0.282,1,stop_loss,False
2021-06-27,2021-06-29,29.7058,35.6114,29.691,35.6292,20.0,19.641,0.359,2,take_profit,True
2021-07-19,2021-07-20,26.6923,25.0657,26.679,25.0783,-6.0,-6.282,0.282,1,stop_loss,False
2021-07-21,2021-07-23,23.4957,28.1667,23.484,28.1808,20.0,19.641,0.359,2,take_profit,True
2021-07-27,2021-07-31,28.1971,33.8027,28.183,33.8196,20.0,19.641,0.359,4,take_profit,True
2021-10-02,2021-10-06,161.7008,151.8468,161.62,151.9228,-6.0,-6.282,0.282,4,stop_loss,False
2021-10-13,2021-10-19,152.4262,157.0414,152.35,157.12,3.131,2.822,0.309,6,signal_exit,True
2021-10-21,2021-10-22,176.8084,211.958,176.72,212.064,20.0,19.641,0.359,1,take_profit,True
2021-12-02,2021-12-03,229.9249,215.9134,229.81,216.0214,-6.0,-6.282,0.282,1,stop_loss,False
2022-01-08,2022-01-19,136.4982,141.2493,136.43,141.32,3.584,3.274,0.31,11,signal_exit,True
2022-01-26,2022-01-27,94.6973,88.9265,94.65,88.971,-6.0,-6.282,0.282,1,stop_loss,False
2022-05-14,2022-05-15,48.9545,58.6866,48.93,58.716,20.0,19.641,0.359,1,take_profit,True
2022-07-28,2022-07-31,40.2501,43.8181,40.23,43.84,8.973,8.647,0.326,3,signal_exit,True
2022-08-11,2022-08-14,42.4912,46.5667,42.47,46.59,9.701,9.372,0.329,3,signal_exit,True
2022-09-24,2022-09-25,33.6868,33.3733,33.67,33.39,-0.832,-1.129,0.297,1,signal_exit,False
2022-10-26,2022-10-31,30.8854,32.9135,30.87,32.93,6.673,6.354,0.32,5,signal_exit,True
2022-11-15,2022-11-17,14.007,13.1534,14.0,13.16,-6.0,-6.282,0.282,2,stop_loss,False
2022-12-31,2023-01-02,9.915,11.8861,9.91,11.892,20.0,19.641,0.359,2,take_profit,True
2023-02-20,2023-02-22,24.8424,23.3285,24.83,23.3402,-6.0,-6.282,0.282,2,stop_loss,False
2023-04-12,2023-04-20,23.0015,21.5998,22.99,21.6106,-6.0,-6.282,0.282,8,stop_loss,False
2023-04-28,2023-05-08,22.3512,20.9891,22.34,20.9996,-6.0,-6.282,0.282,10,stop_loss,False
2023-05-09,2023-05-21,20.6403,19.3825,20.63,19.3922,-6.0,-6.282,0.282,12,stop_loss,False
2023-05-28,2023-06-05,20.4302,19.1852,20.42,19.1948,-6.0,-6.282,0.282,8,stop_loss,False
2023-06-16,2023-06-21,14.7874,16.6417,14.78,16.65,12.652,12.315,0.337,5,signal_exit,True
2023-07-27,2023-07-30,25.1926,23.6574,25.18,23.6692,-6.0,-6.282,0.282,3,stop_loss,False
2023-08-06,2023-08-17,22.6713,21.2897,22.66,21.3004,-6.0,-6.282,0.282,11,stop_loss,False
2023-08-18,2023-08-21,21.6808,20.3596,21.67,20.3698,-6.0,-6.282,0.282,3,stop_loss,False
2023-08-24,2023-08-25,21.7509,20.4254,21.74,20.4356,-6.0,-6.282,0.282,1,stop_loss,False
2023-10-10,2023-10-20,22.101,26.4947,22.09,26.508,20.0,19.641,0.359,10,take_profit,True
2023-11-03,2023-11-05,40.2601,42.3888,40.24,42.41,5.393,5.077,0.316,2,signal_exit,True
2023-11-26,2023-11-27,58.8394,55.2538,58.81,55.2814,-6.0,-6.282,0.282,1,stop_loss,False
2023-11-29,2023-12-08,58.2091,69.7811,58.18,69.816,20.0,19.641,0.359,9,take_profit,True
2023-12-15,2023-12-17,75.7178,71.1036,75.68,71.1392,-6.0,-6.282,0.282,2,stop_loss,False
2023-12-19,2023-12-21,74.4472,89.2474,74.41,89.292,20.0,19.641,0.359,2,take_profit,True
2024-01-09,2024-01-10,97.9289,91.9612,97.88,92.0072,-6.0,-6.282,0.282,1,stop_loss,False
2024-01-12,2024-01-13,99.9399,93.8497,99.89,93.8966,-6.0,-6.282,0.282,1,stop_loss,False
2024-01-18,2024-01-19,102.151,95.926,102.1,95.974,-6.0,-6.282,0.282,1,stop_loss,False
2024-01-23,2024-01-29,83.8819,100.5577,83.84,100.608,20.0,19.641,0.359,6,take_profit,True
2024-02-08,2024-02-29,101.1906,121.3073,101.14,121.368,20.0,19.641,0.359,21,take_profit,True
2024-03-26,2024-04-02,189.0745,177.5524,188.98,177.6412,-6.0,-6.282,0.282,7,stop_loss,False
2024-04-11,2024-04-12,173.3867,162.8205,173.3,162.902,-6.0,-6.282,0.282,1,stop_loss,False
2024-04-22,2024-04-26,148.8844,139.8115,148.81,139.8814,-6.0,-6.282,0.282,4,stop_loss,False
2024-05-02,2024-05-08,134.7073,147.956,134.64,148.03,9.945,9.616,0.329,6,signal_exit,True
2024-05-10,2024-05-11,152.6363,143.3347,152.56,143.4064,-6.0,-6.282,0.282,1,stop_loss,False
2024-05-14,2024-05-20,147.6038,176.9475,147.53,177.036,20.0,19.641,0.359,6,take_profit,True
2024-05-31,2024-06-07,166.9634,156.7888,166.88,156.8672,-6.0,-6.282,0.282,7,stop_loss,False
2024-06-12,2024-06-14,149.3847,140.2812,149.31,140.3514,-6.0,-6.282,0.282,2,stop_loss,False
2024-06-15,2024-06-18,143.1115,134.3904,143.04,134.4576,-6.0,-6.282,0.282,3,stop_loss,False
