entry_date,exit_date,entry_price,exit_price,entry_trigger_price,exit_trigger_price,gross_return_pct,return_pct,cost_pct,hold_days,exit_reason,profit
2021-09-01,2021-09-07,29.384685,27.5939961,29.37,27.6078,-6.0,-6.282,0.282,6,stop_loss,False
2021-09-16,2021-09-16,27.49374,25.8182844,27.48,25.8312,-6.0,-6.282,0.282,0,stop_loss,False
2021-09-27,2021-09-27,24.05202,22.5863012,24.04,22.5976,-6.0,-6.282,0.282,0,stop_loss,False
2021-09-29,2021-10-06,23.081535,25.62718,23.07,25.64,11.14,10.807,0.333,7,signal_exit,True
2021-10-14,2021-10-19,24.71235,25.62718,24.7,25.64,3.806,3.495,0.311,5,signal_exit,True
2021-11-03,2021-11-05,26.183085,25.70714,26.17,25.72,-1.72,-2.014,0.294,2,signal_exit,False
2021-11-09,2021-11-10,26.263125,24.6626625,26.25,24.675,-6.0,-6.282,0.282,1,stop_loss,False
2021-11-17,2021-11-18,21.700845,20.3784057,21.69,20.3886,-6.0,-6.282,0.282,1,stop_loss,False
2021-11-19,2021-11-26,20.100045,18.8751577,20.09,18.8846,-6.0,-6.282,0.282,7,stop_loss,False
2021-12-02,2021-12-03,20.960475,19.6831535,20.95,19.693,-6.0,-6.282,0.282,1,stop_loss,False
2021-12-19,2021-12-20,15.577785,14.6284821,15.57,14.6358,-6.0,-6.282,0.282,1,stop_loss,False
2021-12-23,2021-12-27,16.22811,19.454268,16.22,19.464,20.0,19.641,0.359,4,take_profit,True
2022-01-28,2022-02-07,10.32516,12.377808,10.32,12.384,20.0,19.641,0.359,10,take_profit,True
2022-05-03,2022-05-09,6.94347,6.5203382,6.94,6.5236,-6.0,-6.282,0.282,6,stop_loss,False
2022-07-28,2022-07-28,8.04402,9.643176,8.04,9.648,20.0,19.641,0.359,0,take_profit,True
2022-08-04,2022-08-09,8.914455,8.3712123,8.91,8.3754,-6.0,-6.282,0.282,5,stop_loss,False
2022-08-11,2022-08-15,9.22461,8.6624666,9.22,8.6668,-6.0,-6.282,0.282,4,stop_loss,False
