entry_date,exit_date,entry_price,exit_price,entry_trigger_price,exit_trigger_price,gross_return_pct,return_pct,cost_pct,hold_days,exit_reason,profit
2021-09-01,2021-09-07,1.1861928,1.11390677,1.1856,1.114464,-6.0,-6.282,0.282,6,stop_loss,False
2021-09-25,2021-09-29,0.9446721,0.8923536,0.9442,0.8928,-5.444,-5.727,0.283,4,signal_exit,False
2021-10-02,2021-10-12,1.0427211,1.13573185,1.0422,1.1363,9.029,8.702,0.327,10,signal_exit,True
2021-10-21,2021-10-22,1.14567255,1.08795575,1.1451,1.0885,-4.943,-5.228,0.285,1,signal_exit,False
2021-10-29,2021-11-08,1.058529,1.2689652,1.058,1.2696,20.0,19.641,0.359,10,take_profit,True
2021-11-27,2021-11-28,0.9396696,0.88240658,0.9392,0.882848,-6.0,-6.282,0.282,1,stop_loss,False
2021-12-08,2021-12-13,0.8158077,0.76609276,0.8154,0.766476,-6.0,-6.282,0.282,5,stop_loss,False
2021-12-21,2021-12-27,0.88033995,0.91954,0.8799,0.92,4.557,4.244,0.313,6,signal_exit,True
2022-01-11,2022-01-18,0.74026995,0.7612192,0.7399,0.7616,2.933,2.624,0.308,7,signal_exit,True
2022-03-01,2022-03-03,0.78129045,0.73367898,0.7809,0.734046,-6.0,-6.282,0.282,2,stop_loss,False
2022-03-12,2022-03-13,0.8032014,0.75425468,0.8028,0.754632,-6.0,-6.282,0.282,1,stop_loss,False
2022-05-14,2022-05-14,0.42311145,0.39732724,0.4229,0.397526,-6.0,-6.282,0.282,0,stop_loss,False
2022-09-08,2022-09-11,0.33706845,0.3572213,0.3369,0.3574,6.085,5.767,0.318,3,signal_exit,True
2022-10-05,2022-10-13,0.47973975,0.45050464,0.4795,0.45073,-6.0,-6.282,0.282,8,stop_loss,False
2022-10-22,2022-11-08,0.46153065,0.43340519,0.4613,0.433622,-6.0,-6.282,0.282,17,stop_loss,False
2022-11-25,2022-11-28,0.4020009,0.37750315,0.4018,0.377692,-6.0,-6.282,0.282,3,stop_loss,False
