date,open,high,low,close,volume,MA20,MA60,MA200,RSI,MACD,SIGNAL,HIST,BB_UPPER,BB_LOWER,VOL_MA20
2021-06-19 00:00:00+00:00,337.21,345.0,331.11,334.01,1067456.2119,,,,,0.0,0.0,0.0,,,
2021-06-20 00:00:00+00:00,334.03,340.57,310.13,339.08,1618406.0051,,,,100.0,0.4044444444444366,0.08088888888888733,0.32355555555554927,,,
2021-06-21 00:00:00+00:00,339.09,342.0,268.57,270.76,3729539.0167,,,,49.102287119123865,-4.733320671098454,-0.881953023108581,-3.851367647989873,,,
2021-06-22 00:00:00+00:00,270.76,291.5,225.42,262.1,5570573.4851,,,,45.91234735268427,-9.395520454830319,-2.5846665094529286,-6.81085394537739,,,
2021-06-23 00:00:00+00:00,262.1,309.75,251.41,296.25,3319089.777,,,,57.60795157003578,-10.216953100719081,-4.111123827706159,-6.105829273012922,,,
2021-06-24 00:00:00+00:00,296.17,316.49,281.5,308.62,2635799.196,,,,60.90558882329302,-9.75731254578045,-5.240361571321017,-4.516950974459434,,,
2021-06-25 00:00:00+00:00,308.6,314.84,275.24,280.81,2711888.8709,,,,51.25281417950454,-11.504462395378084,-6.493181736132431,-5.011280659245653,,,
2021-06-26 00:00:00+00:00,280.89,290.33,264.26,279.65,2263064.3633,,,,50.89050986431174,-12.834742620614065,-7.761493913028758,-5.073248707585307,,,
2021-06-27 00:00:00+00:00,279.58,291.7,269.72,290.87,1539903.0268,,,,54.25860786379222,-12.835677354111056,-8.776330601245219,-4.059346752865837,,,
2021-06-28 00:00:00+00:00,290.89,299.96,283.55,290.0,1884580.1557,,,,53.9496360286882,-12.759535879168652,-9.572971656829907,-3.1865642223387454,,,
2021-06-29 00:00:00+00:00,290.0,315.6,289.19,300.79,2126079.3416,,,,57.20451659603617,-11.693732320405559,-9.997123789545038,-1.6966085308605212,,,
2021-06-30 00:00:00+00:00,300.79,304.88,281.53,303.71,2061866.47,,,,58.06827212270971,-10.492504662452689,-10.09619996412657,-0.39630469832611936,,,
2021-07-01 00:00:00+00:00,303.75,304.0,281.0,287.43,1388151.0265,,,,51.79187043020753,-10.730488637988685,-10.223057698898993,-0.5074309390896925,,,
2021-07-02 00:00:00+00:00,287.49,290.74,276.4,287.17,1003331.2269,,,,51.6957688658632,-10.815399289613936,-10.341526017041982,-0.47387327257195366,,,
2021-07-03 00:00:00+00:00,287.17,303.21,282.77,298.13,1016731.5662,,,,55.44854488279523,-9.88437032106259,-10.250094877846104,0.3657245567835137,,,
2021-07-04 00:00:00+00:00,298.18,314.91,292.58,307.62,1309414.0255,,,,58.45804744721761,-8.285252236629958,-9.857126349602876,1.5718741129729175,,,
2021-07-05 00:00:00+00:00,307.63,307.68,291.0,302.02,1403218.2408,,,,56.05186056222828,-7.3846867603749615,-9.362638431757293,1.977951671382332,,,
2021-07-06 00:00:00+00:00,302.04,322.5,301.8,319.92,2066912.3595,,,,61.506016967821814,-5.167039315897398,-8.523518608585315,3.356479292687917,,,
2021-07-07 00:00:00+00:00,319.91,340.0,318.23,327.51,1779058.2937,,,,63.57051086459854,-2.7652125224645374,-7.37185739136116,4.606644868896622,,,
2021-07-08 00:00:00+00:00,327.51,328.21,304.4,310.14,1644090.8501,299.8295,,,56.14880110685279,-2.2375680259293063,-6.34499951827479,4.1074314923454835,339.04150044629193,260.61749955370806,2106957.675465
2021-07-09 00:00:00+00:00,310.08,319.69,301.43,317.09,1106411.786,298.9835,,,58.24911230579644,-1.244256035470869,-5.324850821714006,4.080594786243137,335.87037803270965,262.09662196729033,2108905.45417
2021-07-10 00:00:00+00:00,317.09,321.44,310.57,316.12,818970.9225,297.8355,,,57.83277262642527,-0.5292195069296781,-4.36572455875714,3.836505051827462,330.88933818862796,264.7816618113721,2068933.70004
2021-07-11 00:00:00+00:00,316.12,326.82,312.21,322.16,799617.835,300.40549999999996,,,59.761412354994114,0.5188486508382653,-3.388809916838059,3.9076585676763242,332.6212777959806,268.18972220401935,1922437.640955
2021-07-12 00:00:00+00:00,322.17,334.37,308.57,316.12,1322836.6575,303.1065,,,56.95597831463242,0.8522485049203965,-2.540598232486368,3.3928467374067646,330.7579298183656,275.45507018163437,1710050.7995749998
2021-07-13 00:00:00+00:00,316.11,318.33,305.2,308.94,930032.3155,303.741,,,53.72714825219933,0.5309834503702859,-1.9262818959150372,2.457265346285323,331.3162576778531,276.16574232214685,1590597.9265
2021-07-14 00:00:00+00:00,308.98,313.46,290.24,309.4,1430288.4026,303.78000000000003,,,53.907431284749954,0.3099241232969234,-1.4790406920726453,1.7889648153695688,331.3849394130833,276.17506058691674,1530322.38683
2021-07-15 00:00:00+00:00,309.33,324.33,301.32,316.11,2185210.8398,305.54499999999996,,,56.56576868301531,0.6684682502531132,-1.0495389036074936,1.7180071538606068,331.51524027613135,279.57475972386857,1503988.4852749999
2021-07-16 00:00:00+00:00,316.12,323.5,301.5,302.88,1456105.4019,306.7065,,,50.394374893360926,-0.11362359615156947,-0.8623558421163089,0.7487322459647394,329.8661047246061,283.5468952753939,1463640.537205
2021-07-17 00:00:00+00:00,302.94,306.71,295.0,300.52,1030879.9611,307.189,,,49.35985164735535,-0.91334087072903,-0.8725528478388532,-0.0407880228901768,329.3910646787635,284.98693532123656,1438189.3839200002
2021-07-18 00:00:00+00:00,300.56,309.18,298.7,302.1,815497.3527,307.794,,,50.09843937427203,-1.4034516599765539,-0.9787326102663935,-0.4247190497101604,328.7118109753386,286.87618902466136,1384735.24377
2021-07-19 00:00:00+00:00,302.04,303.94,278.85,280.54,1318041.7074,306.7815,,,41.25602518580694,-3.4913338833473517,-1.4812528648825851,-2.0100810184647666,330.7021833305405,282.8608166694595,1344333.36206
2021-07-20 00:00:00+00:00,280.54,283.6,254.52,264.44,1796600.5803,304.81800000000004,,,36.12797693947161,-6.371682247716649,-2.4593387414493977,-3.912343506267251,335.04135957500426,274.5946404249958,1331070.067575
2021-07-21 00:00:00+00:00,264.43,298.92,261.02,293.26,1740736.0226,305.1095,,,48.47438638128882,-6.256722336635903,-3.2188154604866988,-3.0379068761492043,334.76351387670815,275.4554861232919,1348699.3173800001
2021-07-22 00:00:00+00:00,293.27,298.44,287.3,293.36,1173507.9432,305.419,,,48.511576734472335,-6.087375143206486,-3.792527397030657,-2.2948477461758294,334.44006814023214,276.3979318597678,1357208.153195
2021-07-23 00:00:00+00:00,293.39,301.5,281.01,299.27,1640999.5389,305.476,,,50.77300402419955,-5.413870930198129,-4.116796103664152,-1.2970748265339775,334.44400883733636,276.50799116266364,1388421.5518299998
2021-07-24 00:00:00+00:00,299.29,307.79,295.43,301.56,1438901.3811,305.173,,,51.65897916878897,-4.6418220917420285,-4.2218013012797275,-0.420020790462301,334.17172348914687,276.17427651085313,1394895.91961
2021-07-25 00:00:00+00:00,301.53,304.44,292.34,302.56,1083557.277,305.2,,,52.06469587601287,-3.904270185923224,-4.158295078208427,0.2540248922852033,334.1879340415973,276.21206595840266,1378912.87142
2021-07-26 00:00:00+00:00,302.56,328.0,301.0,304.0,2575554.2802,304.404,,,52.680572516030885,-3.1670512262541024,-3.9600463078175623,0.7929950815634599,332.59474628313336,276.21325371686663,1404344.9674550002
2021-07-27 00:00:00+00:00,304.0,318.41,297.61,313.48,1678708.0635,303.7025,,,56.63103407721563,-1.7971269561286363,-3.527462437479777,1.730335481351141,330.20621813538617,277.1987818646138,1399327.455945
2021-07-28 00:00:00+00:00,313.47,318.68,308.0,313.8,1308249.13,303.8855,,,56.762253382878505,-0.677817320490476,-2.9575334140819174,2.2797160935914413,330.6140753267921,277.15692467320787,1382535.36994
2021-07-29 00:00:00+00:00,313.84,320.31,308.6,317.03,998946.1839,303.8825,,,58.13903522330757,0.46452290481562386,-2.2731221503024095,2.7376450551180334,330.6051592052512,277.1598407947488,1377162.089835
